MoPHCode	GTIN
3110	3582910077077
3115	4032717998475
3116	4032717995771
3117	NULL
3119	NULL
3161	8023824000553
3166	NULL
3168	8002660027405
3172	8002660030214
3180	8002660030467
3188	8002660026224
3195	3582186006436
3196	3582186007617
3203	3582910016021
3206	8002660025531
3212	NULL
3213	NULL
3247	NULL
3263	NULL
3265	3400933780418
3267	6285117019563
3268	8024790123475
3272	6285117019617
3273	6285117019594
3274	6285117019600
3279	6285117019518
3280	6285117019525
3281	6285117019532
3340	3582910080718
3345	3582910082705
3348	NULL
3351	55413760314247
3353	55413760314278
3354	NULL
3355	NULL
3356	NULL
3358	9003533000104
3367	5407005590645
3371	6291100080038
3376	10304091638027
3382	5016007202311
3404	NULL
3411	7640128548546
3412	7640128548539
3413	NULL
3414	3400933185015
3415	3499320010672
3426	4054839458842
3427	3614250000320
3434	6291100080045
3435	6291100080137
3436	6291100080052
3444	7640135180289
3447	4054839458828
3464	6251106401114
3483	6251148030143
3484	NULL
3485	NULL
3486	6251106210419
3487	3368516751237
3488	368516751053
3489	368516751220
3490	7791848917003
3491	6291100084715
3495	625720000910
3504	3400937173070
3512	5000158060630
3514	NULL
3525	6285128003193
3526	6285128010726
3528	NULL
3530	8437018883011
3531	5415062341261
3532	NULL
3546	NULL
3559	6285128010702
3560	6251065019917
3561	6251065019924
3563	7795347936398
3564	7795347936381
3570	771313243391
3571	771313139489
3576	NULL
3577	9003533001231
3579	771313139472
3588	5415062310724
3590	6251148010633
3591	6251148010671
3592	6251148130225
3593	6251148140125
3594	6251148030716
3596	6251148120776
3597	NULL
3598	55413760481505
3599	55413760475221
3600	55413760471209
3603	7640107470158
3604	313533004262
3626	3582186007303
3632	NULL
3633	NULL
3634	NULL
3635	NULL
3651	3582910026068
3660	8411561010001
3677	8056446340530
3678	8056446340523
3679	8056446340516
3682	8059591081167
3683	8059591081082
3684	4013054003077
3685	4013054003060
3686	4013054000274
3692	8051013310084
3694	3499320010412
3695	3499320010429
3698	3499320010511
3711	3614250000313
3712	3614250000146
3714	8051013310077
3715	8051013310091
3717	8051013310107
3733	10300650023150
3740	6291100080069
3747	6291100082698
3748	6291100080953
3749	6291100081080
3754	8020030053410
3755	8020030053427
3757	7791848909107
3758	7791848909206
3774	7640184360038
3775	7640184360045
3777	6251106400629
3780	8435214414800
3781	8436029300555
3792	3760242570354
3793	3760242570361
3819	771313001366
3820	771313001397
3822	771313002707
3838	3594455800546
3847	NULL
3851	6251065019931
3853	6251106200212
3854	6251106200281
3881	5290931028395
3885	5290931028234
3894	6251154139014
3895	6251154138017
3896	NULL
3897	NULL
3898	8435232336757
3899	8435232336498
3900	8435232336474
3902	3592610000886
3903	3499320010795
3904	7612291069975
3905	7612291069982
3906	7613326015271
3907	7613326015851
3909	NULL
3915	13583313110023
3919	6291100081639
3920	366582507376
3922	NULL
3938	8033219750369
3939	18907695035258
3940	18907730009275
3943	NULL
3944	NULL
3949	5407005590720
3950	NULL
3951	NULL
3952	9003533000654
3956	6251160020160
3959	6285128010924
3960	6285128010900
