code,public_price
4578,4453878
6714,355798
10749,9041227
6405,1277994
2250,2691717
6469,2714763
6903,857723
2251,585915
9836,563070
6309,610104
6308,330585
8924,2822069
7258,755239
10865,1701305
10788,2431715
10789,796067
11226,631606
11921,1277994
9465,364181
9466,425998
9467,364181
11511,3777541
11512,10863782
11296,18712833
11297,22928852
11647,262049
10855,577852
6529,851100
6530,487623
6604,1555018
6605,1226096
1658,450187
1659,268769
11583,403153
11835,3628375
11836,403153
11843,5375370
2263,5521849
3943,18574396
11860,806306
11318,5933065
8090,5933065
5277,703918
5659,703918
5658,545216
753,349399
754,700142
6853,791523
6512,692079
8876,788836
9916,1134203
760,851996
761,735082
3777,604729
3987,434061
5774,703918
1660,217702
2266,6127922
8617,499909
6422,712237
7242,1343843
6505,3300477
2271,8005714
1842,159917
6719,490503
2272,3922676
5966,1651582
1394,147823
1395,490503
11706,1126140
10427,561726
11201,638325
11202,318491
11479,95532998
11480,188515591
11481,188515591
11358,10699559
3906,6083575
3907,6083575
7452,1166025
7396,16466387
7397,41106321
3920,407184
4095,2303346
4097,3886393
9730,128412818
11852,894615
5116,26712753
5117,36113502
10996,10943137
2277,339992
6218,240548
6013,180075
4387,360918
4388,415951
1852,147823
3780,821088
5045,795555
521,3420079
522,21354452
11311,21354452
11312,3420079
10889,370901
8651,356118
4579,166381
4580,159981
8920,537537
2736,591291
2793,530818
9389,1100607
4581,529858
11330,8719720
11961,332761
285,1252461
2282,385683
2283,360150
2285,385683
291,1104639
292,705517
9141,115570
9160,1251117
9161,1358625
8048,4031528
5976,3101588
6163,6512261
7493,555007
5667,638325
7421,888280
7423,804962
7933,459594
5626,983693
9660,348055
11366,8768039
11367,16494074
11368,22062995
4389,490183
9149,636981
10086,14826544
10087,7372177
4582,386515
11244,4699417
11245,9012607
10323,15275833
10085,14817734
10084,39804728
1248,1548107
5155,2378601
1256,2280501
11929,436749
2295,654451
1662,240548
1819,392402
1840,241892
5310,5120040
5938,9908924
7092,9908924
7093,5120040
11162,4914432
5931,686704
1139,295645
786,392402
3956,331929
3464,354774
3939,520067
6655,375765
6656,1074197
5823,511940
11784,895895
11785,1410395
11786,2166786
11787,2559700
7973,1191988
10320,1191988
5298,507972
9132,8031731
7074,77031165
7075,38515582
4390,641205
3959,131697
3960,215015
7168,467657
6410,686704
5967,295645
6047,877529
8404,446156
8405,430030
8406,219046
9657,618168
1179,1166455
10290,712876
6404,201576
8751,3535650
5235,712876
7660,890776
7661,801186
10015,362837
11550,454219
11551,1280682
10490,302045
10491,302045
5775,1148025
1402,299677
1403,210983
8292,274144
11225,395090
11316,395090
6544,911125
9975,658483
11886,748520
1255,857372
1253,512004
1820,632950
10423,353239
10846,598970
10751,1109630
10982,1035399
5306,808993
10873,658483
10874,658483
11903,658483
11904,658483
6574,544256
11353,193513
1864,486471
6824,1128828
11774,602041
11775,846621
11776,901718
4586,149742
4587,153582
5021,291806
3592,154542
10793,332761
8692,288926
8366,382995
4395,386515
4396,386515
10753,386515
8708,386515
8709,386515
11113,38239924
9644,6392659
9399,903062
9228,872154
10850,20296042
8603,833182
1025,632950
9599,374996
4100,1181238
11438,1181238
9122,1206259
9123,1138185
9124,1004762
9820,935570
8435,745833
4588,218854
4107,
4800,
4802,
4803,
4804,
4805,
4806,
4859,
4105,
4106,
4108,
4860,
4109,
4858,
10465,4393021
10466,4393021
10467,6049979
10468,3133841
4694,792373
4695,1071474
5516,1253910
5518,1253910
4693,445199
4696,808711
4697,1138185
11718,1059220
11719,1327429
7341,5818474
11417,510660
11896,450187
11897,450187
9097,309084
9098,338648
9099,338648
11891,2015764
11892,2956454
8724,1521230
8725,3043803
1169,498566
5569,1183925
10095,11653550
9294,585915
9295,585915
10528,395090
10529,395090
53,213671
529,1018633
8138,4441399
528,423310
10768,544586
10424,469706
11086,544586
11087,578623
2975,349399
2976,499909
11717,1209458
8965,8996996
10897,674609
10375,1087873
5420,398033
5421,1092992
5422,492742
8441,70463329
9678,749864
9679,749864
8354,544256
4584,7529090
4585,183019
5880,821088
5881,1116733
5883,1116733
5229,452875
5236,452875
10666,398033
10667,1293928
10668,1109630
6845,1420634
6846,1740596
4397,202216
3206,1835689
5258,4598629
10516,69290804
10517,38436952
7861,517379
7862,517379
1711,804962
1712,804962
1713,804962
5565,589947
6342,575933
6343,575933
5332,4734357
3976,948753
3977,970254
3978,1603204
5114,3553120
10451,948753
10452,970254
10453,1603204
10454,3553120
8322,366234
8820,492851
7049,452875
7495,1228272
7560,593850
10478,29806627
10479,53593818
11539,1546763
4285,1164664
4286,2687685
4287,267489
10253,1726838
10941,167980
10763,853639
10764,1153162
10765,1153162
4288,449227
4289,409552
8492,47779251
8493,218656548
6193,862747
4903,343089
4904,584069
2465,3301821
8825,737770
10898,1710712
7865,15866076
7867,5411654
9242,13404432
10978,12678532
6497,82405803
11542,82405803
2361,654451
8290,1240367
9438,1307559
6872,2100426
11846,208296
11797,231141
9876,377620
411,287582
412,478408
11131,75022315
11132,92470390
11133,93260179
8379,267425
9690,1323685
8060,258018
9118,380307
8899,156171284
10905,468512749
10961,254729810
10962,127364905
10963,127364905
10964,103165573
10965,127364905
11820,2777275
11821,2777275
11822,2777275
7511,467657
7878,1372063
4291,449227
4292,358066
1800,912469
1801,1075074
8422,348055
2806,2366507
2810,11778312
2811,31761098
6696,302045
6697,302045
10291,147823
11527,155886
11528,145135
11656,108851
9276,827807
8120,415247
8121,635638
5877,724395
11868,13280846
11869,18379327
11870,8846092
11763,13424141
11764,24918561
11762,9279724
11411,38502953
5159,430030
5519,197097
6388,149742
10742,693679
10743,566974
10744,259810
10161,48879793
2977,240548
2979,479752
2980,360150
2985,442124
2986,450187
2987,362837
4398,307164
4399,499142
5520,1510223
416,182763
417,365525
9536,423310
8299,968910
8300,564414
11673,968910
11674,564414
5464,894615
6884,972686
6885,2909099
11943,783460
9045,560382
4898,119026
4400,175339
2886,382995
11840,748806
7531,290270
7321,737770
9351,290270
9352,290270
11918,1007882
4401,656563
11037,323802
10055,1009802
11036,673201
9535,1009802
11038,673201
10901,323802
11655,396434
7437,249955
11874,256674
9572,1187701
9573,999563
11646,1995606
6694,563070
11545,563070
3885,2998113
8279,338648
9694,43003
7159,119026
9693,1154361
9014,368213
10206,3471145
11489,2375914
11490,1595141
11116,467657
10662,486471
10022,15543897
10023,9340433
11117,239204
7663,517379
4110,944626
4111,807874
4112,329815
4113,287295
4114,369209
4115,170630
4117,194211
4119,219493
4122,174062
4124,174062
4126,170630
4128,182720
4130,205933
9379,170630
9558,188772
9559,188772
9586,195361
9708,224565
9773,185340
11651,252820
11653,284997
11654,220643
4749,217195
4750,191913
4751,168929
4157,176974
4159,198578
11652,224090
4754,185018
4755,174675
4756,148566
4752,316025
4753,183869
4147,194165
4155,220643
4149,188772
4151,204554
4153,220643
4142,205933
4144,182720
9372,217210
9373,240255
4134,189262
4136,182720
4138,207894
9711,198578
9712,226036
4133,207404
4808,158587
4809,171228
4779,193062
4790,171228
4801,158587
4764,193062
4765,180421
4766,148566
4767,194211
4769,180421
4770,186167
4748,148566
4810,179456
4747,163184
5198,212797
7285,442124
11321,2124167
11360,1241710
11361,2483421
5136,98101
5137,180075
4728,130545
4729,199657
4730,261089
4731,322522
5086,639925
6133,382995
138,494534
9869,1163270
9865,1163270
9861,1111506
9867,1150329
9864,1150329
9863,1150329
5083,221286
11282,221286
5085,579772
11283,579772
5084,349399
11281,349399
6031,500421
11280,500421
5374,119602
5375,147823
7254,150510
10601,26856672
10602,34962083
10603,35697531
10604,26856672
2427,514692
9207,354774
9278,755239
9288,945809
11884,310428
11883,716268
7527,1038790
1822,205608
1832,135728
1812,83318
1823,233829
4402,445388
1263,482439
9808,1311590
11917,2822069
10938,414671
10939,952208
5216,503941
7659,978317
5325,575165
9416,1131515
8685,330585
9354,503941
3415,503941
8652,521411
11703,123247956
9313,38637010
9511,23213276
3588,622199
7137,286238
9574,593850
10013,456906
9853,364181
9968,598010
9687,502981
10091,223974
8461,267489
7026,2768316
10236,632950
11772,602041
11773,846621
3427,1089856
6927,544256
10859,1104639
11216,620855
3922,2940456
9685,6977230
8454,1515854
8565,446156
8563,352087
8560,291614
8016,11330804
8575,1690682
10156,978317
1664,118258
3993,372244
11529,2145848
11530,2316784
11612,2900012
3532,2701123
8734,4110814
8735,15099641
5866,19518281
5867,5313553
1731,16777239
3576,4567721
11268,16906027
8711,249571
6347,120946
7434,120946
11332,120946
11333,120946
9889,337880
11474,3801155
7307,135664
10441,317403
10750,380115
10797,317403
6310,295645
4545,267489
7289,1191988
11410,54836160
5999,319963
11096,116914
11753,1615299
7361,2292595
7360,1970969
10419,1365344
10420,1365344
11015,1325029
11018,1325029
8096,1779247
8177,1634112
2640,713580
3546,1107326
11535,1381470
11536,1034759
5419,326554
11959,804962
7305,581884
6812,1081473
10972,517379
10942,689391
9049,548288
1301,415247
1302,1628737
4404,712876
4406,965007
7080,610104
7081,489159
8157,2151492
8158,1323685
7726,1794030
10684,2015764
2479,1804780
2480,428686
11172,788836
2503,311771
1665,174700
4589,166381
9818,4577128
8175,511940
11370,1658302
9706,2803255
9707,3287039
9735,520067
9738,219046
11623,422860803
7790,716716
7791,831903
8888,573821
8889,573821
4293,223974
4294,216295
4295,273888
6097,417935
9658,1933789
3168,454219
3172,935314
10255,123001362
10623,123001362
11809,123001362
11810,123001362
5157,1204979
9260,624567
10354,1187701
8741,1791790
5521,5911563
5661,3019614
5662,1509135
10581,815518
11166,2168962
10692,1166455
9414,1112702
10913,1337123
6881,561342
9125,712620
11712,2183744
7315,1019976
3626,42726155
7646,14625182
4490,119026
2492,3385139
274,1240367
275,1034759
276,795555
2491,266081
484,722987
10176,524099
5153,7844402
3577,15457059
11521,2983330
5596,2488796
5599,2135366
9765,1507821
1241,2143429
5801,4004651
10595,22653238
11694,447948
7332,307164
10289,415951
7761,280863
4411,364757
11163,1846440
11895,2023827
11645,1846440
11700,1846440
10332,388370
8823,732394
8824,817056
196,129009
9906,163949
10126,129009
10127,129009
197,215015
10400,215015
8814,671921
4163,165727
3559,341336
10967,399121
3526,459594
5239,462282
7630,1780591
10340,4122539
10341,4122539
6905,249955
10136,435405
8871,252642
6255,1711159
6561,2276469
9261,282207
11021,44141610
11022,35131802
5150,4930558
11004,103165573
11005,127364905
11006,127364905
7327,440780
9922,37250732
5109,387027
8485,1060292
8486,822432
9856,1763121
11812,2237050
11813,2237050
10781,1740724
10782,1740724
10991,1840168
10992,1840168
7340,18701506
10397,28768353
10398,52197598
10399,52197598
6767,2776379
513,764646
6836,2009045
10710,37720158
11711,6072824
10584,1042822
32,1652926
10798,1032839
10799,1766193
11362,662962
11363,1187701
11364,1538380
11365,1708600
9949,388370
9950,755239
9951,765990
9952,963535
11733,755239
11734,2150148
11740,1105982
11741,388370
11742,765990
11743,3637782
11744,963535
11745,4575784
11746,1209458
11198,854684
11199,841245
6724,459594
6867,279519
10688,18701506
10689,18701506
10133,19080319
10134,19080319
6213,1131515
6420,595322
6421,831839
9083,1493009
11121,1343843
10833,7823588
10834,4771985
8447,6029821
8448,6029821
8449,11674240
10633,19165898
10634,19165898
8398,152492033
10627,84211194
10628,84211194
11558,82838963
4590,115187
4591,108787
4592,84470
4594,98548
103,739113
4595,223974
11183,3246979
9935,903246290
272,614136
11500,7827491
2279,693423
9061,2088331
10671,2201214
8590,2751678
6653,778758
6654,3564318
11863,575165
9067,1744308
9068,1744308
9898,1744308
9899,1744308
11459,1744308
11460,1744308
9025,1849127
9026,1849127
11302,1243054
11303,7849606
11790,2486109
6442,1209458
11531,5488046
1433,9206440
1434,11317795
10472,37968085
10473,13250926
10471,15187737
4495,89590
1860,446156
1861,628918
7454,354774
5502,22721577
9755,53752106
9756,37174909
9757,23449711
8338,465368012
9626,240536690
11677,240536690
10994,2521049
11739,26153163
11317,264160525
2767,486471
11805,486471
5095,378964
4414,501701
8980,430030
10811,678640
10812,678640
10813,678640
7027,845277
2504,2073549
4497,380115
7304,331929
2869,4949372
11238,4750483
7571,389714
8553,299677
11952,646324
11953,511940
7773,449284
7774,393464
7605,366869
7606,454219
7836,430030
10908,38126657
10909,69025408
11659,2815798
7898,32190251
7952,618168
2043,399121
11598,5085100
11599,9756719
2511,792867
6779,1406394
9281,1109630
9282,1293928
9283,398033
10117,369877
10118,431309
10024,425998
10025,1217521
10070,1390877
2512,795555
