ATC	Code
L02AE04	2811
L01CA04	2813
G04CX02	2815
N02AA01	2827
N07AA01	2855
M03AC09	2869
C01CA03	2871
D01AC14	2886
G03CX01	2904
G03AA09	2905
J01DD13	2909
J01DD13	2910
J01CA04	2924
G02BA	2936
G02AX	2937
G03DC03	2938
J01GB03	2941
J01GB03	2942
C08DB01	2968
C08DB01	2969
J01MA12	2974
C01BD01	2975
C01BD01	2976
N03AG01	2977
N02AB02	2978
N03AG01	2979
N03AG01	2980
N03AG01	2985
N03AG01	2986
N03AG01	2987
C07AB05	3027
A03AA05	3028
R06AD02	3038
C08DB01	3045
A12CC05	3046
N06AX11	3047
S01FA06	3054
C08DB01	3055
A03AX58	3058
A03FA01	3059
R05CB03	3069
R05X	3070
S01GA51	3074
N05AL05	3077
N05CF02	3079
M01AE03	3086
C08DB01	3094
G04CA01	3110
A07EC02	3115
A07EC02	3116
A03BB01	3119
C01BD01	3121
J01GA01	3156
A02BX02	3161
A06AD11	3168
G03DB01	3172
N06AB08	3180
J07BB02	3188
C05CX	3195
C05CX	3196
J01XA02	3203
A09AA02	3206
S01XA20	3247
J01DD04	3263
N03AG04	3265
B05AA01	3267
G01AF05	3268
J06BA02	3272
J06BA02	3273
J06BA02	3274
B02BD02	3279
B02BD02	3280
B02BD02	3281
N07XX02	3340
A02AF02	3345
B05BA10	3351
B05BA10	3353
J01DD01	3354
B02BA01	3356
L01BC01	3358
C10AB05	3367
N02BE01	3371
N05CM18	3376
S01AE01	3382
C09DA06	3385
C09CA06	3388
C09CA06	3392
R03AC13	3393
L03AB11	3400
L03AB11	3401
J05AB06	3404
G02CX01	3411
G02CX01	3412
B05BA	3413
D10AD01	3414
D10AD03	3415
L03AB07	3426
C05CA03	3427
N02BE01	3434
M01AE01	3435
N02BE01	3436
D07XB05	3444
L03AB07	3447
J01MA02	3464
N01BB53	3472
P01AB01	3483
M01AB05	3486
B05AA01	3487
B05AA01	3488
B05AA01	3489
R01AD08	3490
R05CB06	3491
A12BA01	3495
B05XA05	3504
A02BX13	3512
S01CA01	3525
D07XC03	3526
N01AF03	3528
C09BA03	3530
C08CA01	3531
C01CA07	3532
A02BC05	3539
C01CA04	3546
D07AC13	3559
J01DD15	3560
J01DD15	3561
C10AA05	3563
C10AA05	3564
R06AX13	3570
C10AA03	3571
J01DB01	3572
L01CD02	3576
L01CD01	3577
L01CD01	3578
C10AA03	3579
J02AC01	3588
J01DD08	3590
J01DD08	3591
R05X	3592
A02BC01	3593
J01MA01	3594
A06AD11	3595
M01AG01	3596
B05DB	3597
B05DB	3598
B05DA	3599
B05DA	3600
A11AA	3601
B02BX01	3603
B05AA01	3604
D08AG02	3605
R02AA15	3607
G01AX11	3610
D08AG02	3611
R03BA02	3621
M03AX01	3626
C08DB01	3631
N02AA01	3632
N02AA01	3633
N02AA01	3634
N02AA01	3635
M01AE11	3651
N03AE01	3658
A02BC01	3660
A10BB01	3677
A10BB08	3678
A10BD02	3679
A03AB06	3682
M02AA10	3683
A10BA02	3684
A10BA02	3685
C07AB12	3686
C08DB01	3692
D10AE01	3694
D10AE01	3695
D06BX01	3698
G01AA51	3711
B03AE10	3712
C01DA14	3714
C01DA14	3715
C08CA08	3717
S01EB02	3733
N02BE01	3740
M01AE01	3747
A03BB01	3748
A03BB01	3749
A07AA11	3754
A07AA11	3755
A02BC04	3757
A02BC04	3758
R05FA02	3774
R05FA02	3775
J01DD13	3777
S02AA15	3780
B01AC18	3781
V01AA	3790
V01AA	3791
V01AA	3792
V01AA	3793
V01AA	3794
V01AA	3795
C09AA01	3819
C09AA01	3820
A11JB	3829
A11	3830
B03A	3831
R05	3832
C01EB15	3838
R02AA20	3847
J01DD15	3851
R06AE07	3853
R06AE07	3854
N01BB03	3863
J01CA04	3881
J01CA01	3882
H02AB02	3885
N06BA09	3887
N06BA09	3888
N06BA09	3889
N06BA09	3890
N06BA09	3891
C10AA05	3894
C10AA05	3895
C10AA01	3898
C10AA01	3899
C10AA01	3900
D01AE14	3902
D01AE16	3903
G03GA04	3904
G03GA04	3905
L04AA06	3906
L04AA06	3907
N05CD08	3909
A07FA02	3915
A10BB09	3919
G03AC09	3920
B05XB02	3922
J07BC01	3928
A07FA51	3938
J01MA02	3939
N01AX10	3940
J01DB04	3943
J01CR02	3944
N06AB03	3949
J07BD52	3951
L01DB07	3952
J01MA02	3956
R06AX13	3959
R06AX13	3960
S01ED51	3961
S01CA02	3962
S01AE01	3963
A03FA09	3969
A03AX13	3970
J01CR02	3974
D10BA01	3976
D10BA01	3977
D10BA01	3978
A10AE05	3979
G04BD08	3980
G04BD08	3981
M01AB05	3984
M01AC06	3986
J01DD13	3987
C10AA07	3990
D03AX	3992
M01AB05	3993
R03AC02	3994
G04BE03	3996
M05BA08	3999
J05AF10	4015
J05AF10	4016
L01EA02	4017
L01EA02	4018
L01EA02	4019
N01BB01	4020
N01BB01	4021
N01BB01	4022
G03GA05	4025
L04AB02	4028
J06BB01	4029
L01EA01	4041
M05BA08	4043
B05AA01	4048
J01XA02	4057
A02BC01	4058
R07AA01	4061
D01AE14	4067
N05AX08	4070
N05AX08	4071
D10BA01	4075
C07AB07	4078
C07AB07	4079
R03DC03	4082
L01BA04	4083
R05X	4086
J01DB09	4092
L03AB08	4093
C10AA07	4094
N07X	4095
N07X	4097
S01EA05	4098
S01ED51	4100
B05XA07	4103
A12AA03	4104
B05ZA	4105
B05ZA	4106
B05ZA	4107
B05ZA	4108
B05ZA	4109
B05CX01	4110
B05CX01	4111
B05CX01	4112
B05CX01	4113
B05CX01	4114
B05CX01	4115
B05CX01	4117
B05CX01	4119
B05CX01	4122
B05CX01	4124
B05CX01	4126
B05CX01	4128
B05CX01	4130
B05BB02	4133
B05BB02	4134
B05BB02	4136
B05BB02	4138
B05BB02	4142
B05BB02	4144
B05BB02	4147
B05BB02	4149
B05BB02	4151
B05BB02	4153
B05BB02	4155
B05BB02	4157
B05BB02	4159
B05BB02	4163
B05BB02	4165
B05BB01	4166
B05BB01	4167
B05BB01	4169
B05BB02	4174
B05XA05	4175
B05XA05	4176
B05BC01	4177
B05BC01	4179
B05BB01	4181
B05BB01	4182
B05BB01	4184
B05BC01	4187
B05BC01	4189
B05D	4191
B05D	4192
B05XA01	4196
B05XA01	4197
B05XA01	4198
B05XA01	4199
B05XA01	4200
B05XA02	4201
B05XA02	4202
B05XA02	4203
B05XA03	4204
B05XA03	4205
B05XA03	4206
B05XA03	4207
B05XA03	4208
B05XA03	4209
B05XA03	4211
B05XA03	4212
A03BA01	4214
B05XA03	4215
B05XA03	4217
B05XA03	4219
B05XA03	4221
B05XA03	4223
B05XA03	4224
B05XA03	4225
V07AB01	4227
V07AB01	4229
V07AB01	4231
V07AB01	4235
A03BA01	4236
V07AB01	4237
V07AB01	4238
N05BA12	4239
M01AE53	4240
M01AE03	4241
N06AA09	4242
N06AA09	4243
S02AA30	4245
G04BD02	4246
C07AB03	4249
C08DB01	4250
C08DB01	4251
C08DB01	4252
C08DB01	4253
C08DB01	4254
J01FA10	4258
J01FA10	4259
C07AB03	4260
J01FA10	4261
N06AB03	4262
C09AA05	4263
C09AA05	4264
C09AA05	4265
C09AA05	4266
C03EA01	4267
C07BB03	4268
C07BB03	4269
R01BA53	4270
A02BC01	4271
A02BC01	4272
C09AA01	4275
C09AA01	4276
C09AA01	4277
C09BA01	4278
C05CX	4284
J05AB01	4285
J05AB01	4286
D06BB03	4287
R06AX	4288
A11AB	4289
R05D	4290
H02AB02	4291
H02AB02	4292
R05X	4293
R05X	4294
R05D	4295
R05X	4296
S02CA03	4297
A10BA02	4300
A10BA02	4301
A10BD02	4302
A10BD02	4303
C02AB02	4304
M01AB01	4305
M01AB01	4306
J01MA02	4309
J01MA02	4310
C08CA13	4311
C08CA13	4312
D01AC12	4313
C02AB02	4314
G01AF12	4315
G01AF12	4316
G01AF12	4317
D01AC12	4318
G01AF12	4319
A12AX	4320
C07DA06	4321
N05BA12	4322
J02AC01	4324
J02AC01	4325
J02AC01	4326
J01MA06	4327
R06AX02	4331
N05BA12	4332
R03DB04	4333
A03CB01	4336
N04BA02	4337
C10AA03	4338
C10AA03	4339
C10AA03	4340
M01AE03	4341
P01AB01	4345
R03DA55	4350
R03DA55	4351
R03AC02	4354
N06AB06	4355
J01RA	4357
D01BA02	4361
D01AE15	4362
N05BA08	4364
D10AD01	4367
D10AD01	4368
D10AD01	4369
R05DB13	4370
C10AA01	4371
C10AA01	4372
C10AA01	4373
N07CA01	4374
N04AA01	4376
P03AX01	4377
A03CA02	4378
R05X	4379
R05CB02	4380
R06AE07	4387
R06AE07	4388
N07CA02	4389
J01FA09	4390
J01EE01	4392
J01EE01	4393
R05X	4395
R05X	4396
D06BA02	4397
N05AX08	4398
N05AX08	4399
D06AX01	4400
N06AA01	4401
M01AB05	4402
N06AA12	4404
J05AB01	4405
N06AA12	4406
D07XB05	4411
J01FA01	4413
D10AF02	4414
A03CA02	4415
R03DA05	4416
D07AC04	4417
N05AB02	4418
J02AC02	4419
J02AC02	4420
A07AX03	4421
A10BB01	4422
D01BA01	4423
N05AD01	4424
N05AD01	4425
N05AD01	4427
N05AD01	4428
R06AB52	4429
D07AA02	4431
N03AX09	4433
J01MA12	4434
N05BA06	4435
N05BA06	4436
N02BE51	4438
D10AF02	4439
B03BB01	4440
A07AA02	4442
A04AA01	4446
A03FA03	4447
A11DB	4448
J01MA01	4450
S02AA16	4451
A02BC01	4452
M05BA04	4453
P03AB02	4454
N02BE01	4455
M01AE01	4456
N05AB03	4457
M01AC01	4458
H02AB07	4459
H02AB07	4460
H02AB07	4461
H02AB07	4462
R06AD02	4463
N06AB03	4464
J01AA02	4466
D10AD51	4467
C02LA51	4468
J01CA01	4469
D04AX	4481
D08AX01	4488
D08AX01	4490
D08AX01	4492
D08AX01	4494
A06AD04	4495
C03AA03	4497
D02AX	4499
A03AX	4501
A06AA01	4502
A06AB05	4503
A06AB05	4504
D07CA01	4505
J01CA04	4507
C03BA04	4508
A02AX	4509
S02CA02	4513
N06AA21	4516
N06AA21	4517
J01CA04	4518
N06AA21	4519
D06AA04	4523
S01AA09	4524
A03E	4525
D08AK04	4532
N02BE01	4535
N02BE01	4536
N02BE01	4537
R06AA52	4540
R05C	4541
B01AA07	4543
N02AA59	4545
P03AX01	4547
A06AX01	4548
A06AX01	4549
A06AX01	4551
N04BB01	4552
P02DA01	4554
D08AG03	4559
J01AA07	4560
J01CA01	4561
J01AA07	4562
R03DA04	4563
R05X	4564
N06AA02	4565
N06AA02	4566
D05AA	4567
D02AC	4568
P02CB01	4569
N02BE51	4572
J01CA01	4573
J01CA01	4574
J01CA01	4575
A11AA	4576
A11EA	4577
C09AA01	4578
J01BA01	4579
J01BA01	4580
N05AA01	4581
N07CA02	4582
R03DA05	4583
J01EE01	4584
