MoPHCode,rep,2019,2021,2022,2023,2024,2025,2026,2027,2028,registrationDate,registrationMonth,registrationYear
9347,,,,,,,,,2027,,28,6,2016
9348,,,,,,,,,2027,,28,6,2016
9346,,,,,,,,,2027,,28,6,2016
8157,,,,,,,,,2027,,2,6,2015
8158,,,,,,,,,2027,,2,6,2015
7080,,,,,,,,,2027,,,,
7081,,,,,,,,,2027,,,,
3427,,,,,,,,2026,,,,,
6927,,,,,,,,2026,,,11,10,2012
5878,,,,,,,,,,2028,12,2,2010
9608,,,,,,,,,2027,,17,7,2018
2361,,,,2022,,,,,,,13,3,1996
8290,,,,2022,,,,,,,6,3,2015
9438,,,,2022,,,,,,,11,4,2018
8886,,,,,,2024,,,,,29,9,2016
3196,,,,,2023,,,,,,2,12,1997
8031,,,,,2023,,,,,,13,1,2015
10968,,,,,,,,2026,,,3,6,2022
10969,,,,,,,,2026,,,3,6,2022
10158,,,,,,2024,,,,,24,1,2020
1001,,,,,2023,,,,,,29,6,1992
1651,,,,,2023,,,,,,1,9,1985
4874,,,,,2023,,,,,,,,
1002,,,,,2023,,,,,,29,6,1992
1652,,,,,2023,,,,,,11,7,1984
4875,,,,,2023,,,,,,,,
10132,,,,,,2024,,,,,11,12,2019
10177,,,,,,2024,,,,,11,12,2019
6516,,,,,,,,,,2028,7,12,2011
11755,,,,,,,,,,2028,20,11,2023
7573,,,,,,,,,,2028,23,5,2013
11756,,,,,,,,,,2028,20,11,2023
11441,,,,,,,,,2027,,5,4,2023
978,,,,,2023,,,,,,26,11,1997
11080,,,,,,,,2026,,,15,9,2022
4249,,,,,2023,,,,,,22,5,2002
480,,,,,2023,,,,,,19,6,1996
11442,,,,,,,,,2027,,5,4,2023
4260,,,,,2023,,,,,,22,5,2002
481,,,,,2023,,,,,,19,6,1996
10970,,,,,,,,2026,,,6,5,2022
10971,,,,,,,,2026,,,6,5,2022
11045,,,,,,,,2026,,,5,5,2022
4694,,,,,,2024,,,,,,,
5951,,,,,2023,,,,,,7,6,2010
5039,,,,2022,,,,,,,12,9,2006
5506,,,,,,2024,,,,,13,2,2009
5192,,,,,2023,,,,,,5,3,2008
11444,,,,,,,,,2027,,5,6,2023
4078,,,,2022,,,,,,,2,3,2007
11384,,,,,,,,,2027,,11,5,2023
6308,,,,,,2024,,,,,15,12,2010
8768,,,,,,2024,,,,,12,5,2016
11561,,,,,,,,,2027,,20,11,2023
4695,,,,,,,,,,2028,,,
5041,,,,2022,,,,,,,12,9,2006
5507,,,,,,2024,,,,,13,2,2009
5181,,,,,2023,,,,,,5,3,2008
4079,,,,2022,,,,,,,2,3,2007
11385,,,,,,,,,2027,,11,5,2023
6309,,,,,,2024,,,,,15,12,2010
8767,,,,,,2024,,,,,12,5,2016
4693,,,,,,2024,,,,,,,
5957,,,,2022,,,,,,,19,5,2010
11445,,,,,,,,,2027,,5,6,2023
7838,,,,2022,,,,,,,24,7,2014
11251,,,,,,,,2026,,,15,12,2021
11383,,,,,,,,,2027,,11,5,2023
11252,,,,,,,,2026,,,15,12,2021
11253,,,,,,,,2026,,,15,12,2021
3686,,,,,,,,,2027,,6,12,2000
11030,,,,,,,,2026,,,30,8,2022
10973,,,,,,,,2026,,,17,3,2022
10778,,,,,,,,2026,,,12,1,2022
9901,,,,,2023,,,,,,23,4,2019
9853,,,,,,,,,2027,,8,5,2019
9467,,,,,,,,,2027,,23,4,2018
9465,,,,,,,,,2027,,23,4,2018
9968,,,,,,,,,2027,,8,5,2019
9466,,,,,,,,,2027,,23,4,2018
4268,,,,,2023,,,,,,22,5,2002
11443,,,,,,,,,2027,,5,4,2023
4269,,,,,2023,,,,,,22,5,2002
4696,,,,,,2024,,,,,,,
6715,,,,,,2024,,,,,11,8,2011
5397,,,,,2023,,,,,,13,3,2009
8769,,,,,,2024,,,,,13,3,2009
4697,,,,,,2024,,,,,,,
6338,,,,,,,,,2027,,21,7,2011
6339,,,,,,,,,2027,,21,7,2011
4321,,,,,2023,,,,,,,,
5516,,,,,,2024,,,,,24,6,2009
5518,,,,,,2024,,,,,24,6,2009
3531,,,,,,,,,,2028,18,5,2005
10779,,,,,,,,2026,,,12,1,2022
7746,,,,,2023,,,,,,20,6,2013
5074,,,,,2023,,,,,,,,
5585,,,,,2023,,,,,,19,8,2009
7274,,,,,,,,,2027,,9,5,2013
11767,,,,,,,,,,2028,26,4,2024
5266,,,,2022,,,,,,,8,8,2008
6471,,,,,,,,,,2028,19,10,2011
6256,,,,,,,,,2027,,5,4,2011
3950,,,,,,,,,,2028,7,12,2005
5695,,,,,,,,,2027,,21,10,2009
1858,,,,,2023,,,,,,11,10,2002
7243,,,,2022,,,,,,,8,5,2013
7330,,,,,,2024,,,,,6,6,2013
10780,,,,,,,,2026,,,12,1,2022
7347,,,,,2023,,,,,,22,5,2013
5586,,,,,,,,,,2028,19,8,2009
7273,,,,,,,,,2027,,9,5,2013
11766,,,,,,,,,,2028,26,4,2024
8570,,,,2022,,,,,,,5,3,2015
6407,,,,,,2024,,,,,11,8,2011
7331,,,,,,2024,,,,,6,6,2013
10835,,,,,,,,2026,,,22,9,2021
7167,,,,,,,,,,2028,11,1,2012
6681,,,,,,,,,,2028,11,1,2012
6682,,,,,,,,,,2028,11,1,2012
10773,,,,,,,,2026,,,11,8,2021
2688,,,,,2023,,,,,,30,4,1997
3717,,,,,,,,,2027,,12,2,1997
4311,,,,,2023,,,,,,11,11,1998
4312,,,,,2023,,,,,,,,
5285,,,,,2023,,,,,,26,9,2008
5286,,,,,,2024,,,,,26,9,2008
10278,,,,,,2024,,,,,8,7,2020
10279,,,,,,2024,,,,,8,7,2020
3822,,,,,,,,,2027,,26,11,1992
4250,,,,,2023,,,,,,8,7,1998
4252,,,,,2023,,,,,,8,7,1998
4251,,,,,2023,,,,,,8,7,1998
3055,,,,,,,,,,2028,26,2,1997
3045,,,,,,,,,,2028,1,2,1992
4253,,,,,2023,,,,,,8,7,1998
3819,,,,,2023,,,,,,26,11,1992
4275,,,,,2023,,,,,,,,
4578,,,,,2023,,,,,,,,
6714,,,,,2023,,,,,,11,1,2012
5171,,,,,,2024,,,,,8,2,2008
3820,,,,,2023,,,,,,26,11,1992
4276,,,,,2023,,,,,,,,
5173,,,,,,2024,,,,,8,2,2008
322,,,,,,,,,,2028,17,9,1997
11349,,,,,,,,,2027,,5,4,2023
3213,,,,,,,,,2027,,10,2,2002
11350,,,,,,,,,2027,,5,4,2023
11351,,,,,,,,,2027,,5,4,2023
3212,,,,,,,,,2027,,10,2,2002
5229,,,,,,,,,,2028,24,7,2008
5236,,,,,,,,,,2028,24,7,2008
4263,,,,,2023,,,,,,,,
10883,,,,,,,,2026,,,2,3,2022
6481,,,,,,2024,,,,,14,10,2011
6340,,,,,,2024,,,,,4,7,2011
7710,,,,,2023,,,,,,23,10,2013
4264,,,,,2023,,,,,,,,
10884,,,,,,,,2026,,,2,3,2022
6480,,,,,,2024,,,,,14,10,2011
5669,,,,,,2024,,,,,25,9,2009
7711,,,,,2023,,,,,,23,10,2013
7172,,,,,,,,,,2028,5,6,2013
4265,,,,,2023,,,,,,,,
10885,,,,,,,,2026,,,2,3,2022
7244,,,,,,2024,,,,,14,10,2011
5670,,,,,,2024,,,,,25,9,2009
7712,,,,,2023,,,,,,23,10,2013
7171,,,,,,,,,,2028,5,6,2013
4266,,,,,2023,,,,,,,,
4278,,,,,2023,,,,,,,,
11352,,,,,,,,,2027,,5,4,2023
3530,,,,2022,,,,,,,22,6,2005
5615,,,,,,,,,,2028,18,9,2009
5616,,,,,,,,,,2028,18,9,2009
6262,,,,,,,,,,2028,15,4,2011
5577,,,,,2023,,,,,,5,8,2009
5576,,,,,2023,,,,,,5,8,2009
5729,REP,2019,,,,,,,,,13,11,2009
5730,REP,2019,,,,,,,,,13,11,2009
5880,,,,,,,,,,2028,29,4,2010
11504,,,,,,,,,2027,,28,8,2023
5881,,,,,2023,,,,,,29,4,2010
11505,,,,,,,,,2027,,28,8,2023
5883,,,,,,,,,,2028,29,4,2010
11507,,,,,,,,,2027,,28,8,2023
6836,,,,,,,,,,2028,2,11,2011
10140,,,,,,2024,,,,,28,11,2019
10139,,,,,,2024,,,,,28,11,2019
10141,,,,,,2024,,,,,28,11,2019
10142,,,,,,2024,,,,,28,11,2019
8130,,,,,,,,,,2028,22,4,2015
8132,,,,,,,,,,2028,22,4,2015
8133,,,,,,,,,,2028,22,4,2015
9678,,,,,,,,,,2028,16,11,2018
9679,,,,,,,,,,2028,16,11,2018
6845,,,,,,2024,,,,,10,2,2012
5329,,,,,2023,,,,,,20,8,2008
4745,,,,,2023,,,,,,,,
10943,,,,,,,,2026,,,14,4,2022
7173,,,,,,,,,,2028,27,3,2013
6846,,,,,,2024,,,,,10,2,2012
5244,,,,,2023,,,,,,20,8,2008
10944,,,,,,,,2026,,,14,4,2022
11772,,,,,,,,,,2028,21,11,2023
7045,,,,,,,,2026,,,24,12,2012
6477,,,,,,,,,,2028,7,9,2011
7063,,,,,,,,,2027,,20,2,2013
11814,,,,,,,,,,2028,13,8,2024
8618,,,,,,,,,2027,,9,6,2016
7889,,,,,2023,,,,,,30,5,2014
11773,,,,,,,,,,2028,21,11,2023
7046,,,,,,,,2026,,,24,12,2012
6855,,,,,,,,,,2028,29,2,2012
7065,,,,,,,,,2027,,20,2,2013
11815,,,,,,,,,,2028,13,8,2024
8619,,,,,,,,,2027,,9,6,2016
7934,,,,,2023,,,,,,13,10,2014
7890,,,,,2023,,,,,,30,5,2014
7891,,,,,2023,,,,,,30,5,2014
7972,,,,,2023,,,,,,30,5,2014
10871,,,,,,,,2026,,,23,9,2009
7390,,,,,,,,,,2028,7,8,2013
9295,,,,,2023,,,,,,6,9,2017
7675,,,,,,,,,,2028,9,7,2014
7333,,,,,2023,,,,,,8,5,2013
10586,,,,,,,2025,,,,18,2,2021
9070,,,,,,,,,,2028,20,4,2017
6222,,,,,2023,,,,,,4,2,2011
10872,,,,,,,,2026,,,2,3,2022
7389,,,,,,,,,,2028,7,8,2013
9294,,,,,2023,,,,,,6,9,2017
7603,,,,,,,,,,2028,11,2,2014
7338,,,,,2023,,,,,,8,5,2013
10587,,,,,,,2025,,,,18,2,2021
9071,,,,,,,,,,2028,20,4,2017
6223,,,,,2023,,,,,,4,2,2011
11219,,,,,,,,,2027,,20,1,2023
1381,,,,2022,,,,,,,10,11,2002
6823,,,,,,,,2026,,,30,5,2012
11274,,,,,,,,,2027,,8,3,2023
10111,,,,,2023,,,,,,13,9,2018
11220,,,,,,,,,2027,,20,1,2023
1382,,,,2022,,,,,,,3,5,2003
6822,,,,,,,,2026,,,30,5,2012
11275,,,,,,,,,2027,,8,3,2023
10110,,,,,2023,,,,,,13,9,2018
10109,,,,,2023,,,,,,13,9,2018
2265,,,,,,,,2026,,,11,8,2002
5077,,,,,2023,,,,,,,,
11466,,,,,,,,,2027,,9,6,2022
2308,,,,,,,,2026,,,11,8,2002
9589,,,,2022,,,,,,,18,7,2018
5078,,,,,2023,,,,,,,,
11467,,,,,,,,,2027,,9,6,2022
9796,,,,,2023,,,,,,23,11,2018
6576,,,,,,,,2026,,,16,1,2012
6766,,,,,,,,2026,,,31,5,2012
11246,,,,,,,,,2027,,13,4,2022
9795,,,,,2023,,,,,,23,11,2018
6577,,,,,,,,2026,,,16,1,2012
6764,,,,,,,,2026,,,31,5,2012
11247,,,,,,,,,2027,,13,4,2022
9794,,,,,2023,,,,,,23,11,2018
6578,,,,,,,,2026,,,16,1,2012
6765,,,,,,,,2026,,,31,5,2012
11248,,,,,,,,,2027,,13,4,2022
11163,,,,,,,,2026,,,4,1,2022
11895,,,,,,,,,,2028,31,8,2022
6847,,,,,,2024,,,,,10,2,2012
4645,,,,,2023,,,,,,,,
9286,,,,,,,,,,2028,21,11,2017
10945,,,,,,,,2026,,,14,4,2022
7174,,,,,,,,,,2028,27,3,2013
6848,,,,,,2024,,,,,10,2,2012
5475,,,,,2023,,,,,,2,5,2009
9287,,,,,,,,,,2028,21,11,2017
10946,,,,,,,,2026,,,14,4,2022
11774,,,,,,,,,,2028,21,11,2023
7892,,,,,2023,,,,,,19,8,2014
11775,,,,,,,,,,2028,21,11,2023
6478,,,,,,,,,,2028,8,9,2011
6574,,,,,,,,2026,,,21,12,2011
8354,,,,,,,,,,2028,12,6,2013
7935,,,,,2023,,,,,,13,10,2014
7893,,,,,2023,,,,,,19,8,2014
11776,,,,,,,,,,2028,21,11,2023
6854,,,,,,,,,,2028,29,2,2012
7894,,,,,2023,,,,,,19,8,2014
7896,,,,,2023,,,,,,19,8,2014
7895,,,,,2023,,,,,,19,8,2014
10874,,,,,,,,2026,,,2,3,2022
7388,,,,,,,,,,2028,7,8,2013
10528,,,,,,,2025,,,,28,10,2020
7674,,,,,,,,,,2028,9,7,2014
8512,,,,,,2024,,,,,26,1,2016
10588,,,,,,,2025,,,,18,2,2021
6224,,,,,2023,,,,,,4,2,2011
10873,,,,,,,,2026,,,2,3,2022
7386,,,,,,,,,,2028,7,8,2013
10529,,,,,,,2025,,,,28,10,2020
7676,,,,,,,,,,2028,9,7,2014
8513,,,,,,2024,,,,,26,1,2016
10589,,,,,,,2025,,,,18,2,2021
6225,,,,,2023,,,,,,4,2,2011
7387,,,,,,,,,,2028,7,8,2013
7604,,,,,,,,,,2028,11,2,2014
8514,,,,,,2024,,,,,26,1,2016
10590,,,,,,,2025,,,,18,2,2021
11221,,,,,,,,,2027,,20,1,2023
6018,,,,2022,,,,,,,15,9,2010
11277,,,,,,,,,2027,,8,3,2023
10112,,,,,2023,,,,,,19,12,2018
6017,,,,2022,,,,,,,15,9,2010
10113,,,,,2023,,,,,,19,12,2018
2326,,,,,,,,2026,,,6,11,2003
5812,,,,,2023,,,,,,17,2,2010
7411,,,,,,,,2026,,,28,8,2013
11516,,,,,,,,,2027,,25,1,2022
7412,,,,,,,,2026,,,28,8,2013
11517,,,,,,,,,2027,,25,1,2022
7413,,,,,,,,2026,,,28,8,2013
11515,,,,,,,,,2027,,25,1,2022
7414,,,,,,,,2026,,,28,8,2013
11514,,,,,,,,,2027,,25,1,2022
11645,,,,,,,,,,2028,9,11,2022
11700,,,,,,,,,,2028,9,11,2022
11777,,,,,,,,,,2028,21,11,2023
11872,,,,,,,,,,2028,13,6,2024
8033,,,,,,,,,,2028,26,8,2014
7311,,,,,,,,,2027,,12,6,2013
9801,,,,,,,,2026,,,18,7,2018
10350,,,,,,2024,,,,,17,6,2020
11778,,,,,,,,,,2028,21,11,2023
11873,,,,,,,,,,2028,13,6,2024
10223,,,,,,2024,,,,,23,3,2020
8032,,,,,,,,,,2028,26,8,2014
7314,,,,,,,,,2027,,12,6,2013
8584,,,,,,,,2026,,,11,2,2016
10349,,,,,,2024,,,,,8,7,2020
11871,,,,,,,,,,2028,13,6,2024
9963,,,,,2023,,,,,,9,1,2019
7408,,,,,,,,2026,,,12,6,2013
11249,,,,,,,,,2027,,11,2,2022
9961,,,,,2023,,,,,,9,1,2019
7409,,,,,,,,2026,,,12,6,2013
11250,,,,,,,,,2027,,11,2,2022
9962,,,,,2023,,,,,,9,1,2019
7410,,,,,,,,2026,,,12,6,2013
6461,,,,,,2024,,,,,16,11,2011
11179,,,,,,,,,2027,,13,10,2022
6462,,,,,,2024,,,,,16,11,2011
11178,,,,,,,,,2027,,13,10,2022
6817,,,,,2023,,,,,,21,6,2012
6818,,,,,2023,,,,,,21,6,2012
10246,,,,,,2024,,,,,3,6,2020
10247,,,,,,2024,,,,,3,6,2020
10245,,,,,,2024,,,,,3,6,2020
7226,,,,,2023,,,,,,17,7,2013
7227,,,,,2023,,,,,,17,7,2013
11779,,,,,,,,,,2028,21,11,2023
11337,,,,,,,,,2027,,3,5,2023
11782,,,,,,,,,,2028,21,11,2023
11255,,,,,,,,,2027,,9,12,2022
11338,,,,,,,,,2027,,3,5,2023
11780,,,,,,,,,,2028,21,11,2023
11339,,,,,,,,,2027,,3,5,2023
11781,,,,,,,,,,2028,21,11,2023
11115,,,,,,,,2026,,,15,9,2021
11257,,,,,,,,,2027,,9,12,2022
11336,,,,,,,,,2027,,3,5,2023
11374,,,,,,,,,2027,,8,3,2023
11340,,,,,,,,,2027,,3,5,2023
7762,,,,,,,,,2027,,23,7,2014
11390,,,,,,,,,2027,,1,12,2022
7763,,,,,,,,,2027,,23,7,2014
11391,,,,,,,,,2027,,1,12,2022
7764,,,,,,,,,2027,,23,7,2014
11394,,,,,,,,,2027,,1,12,2022
7765,,,,,,,,,2027,,23,7,2014
11393,,,,,,,,,2027,,1,12,2022
7766,,,,,,,,,2027,,23,7,2014
11392,,,,,,,,,2027,,1,12,2022
8447,,,,,,2024,,,,,11,2,2016
8448,,,,,,2024,,,,,11,2,2016
8449,,,,,,2024,,,,,11,2,2016
6727,,,,,,2024,,,,,9,12,2011
3898,,,,2022,,,,,,,12,4,2005
4674,,,,,2023,,,,,,,,
4371,,,,,2023,,,,,,,,
6728,,,,,,2024,,,,,9,12,2011
3900,,,,2022,,,,,,,12,4,2005
7169,,,,,,,,,,2028,27,3,2013
4675,,,,,2023,,,,,,,,
4372,,,,,2023,,,,,,,,
6729,,,,,,2024,,,,,9,12,2011
3899,,,,2022,,,,,,,12,4,2005
7170,,,,,,,,,,2028,27,3,2013
4676,,,,,2023,,,,,,,,
4373,,,,,2023,,,,,,,,
3355,,,,,,,,,2027,,11,4,2003
3571,,,,,2023,,,,,,3,12,2004
9005,,,,,,,,,,2028,4,1,2017
4340,,,,,2023,,,,,,,,
3579,,,,,2023,,,,,,3,12,2004
9006,,,,,,,,,,2028,4,1,2017
4339,,,,,2023,,,,,,,,
4338,,,,,2023,,,,,,,,
6092,,,,,2023,,,,,,29,11,2010
5226,,,,,2023,,,,,,17,10,2007
5075,,,,,2023,,,,,,,,
9199,,,,,2023,,,,,,13,4,2017
11795,,,,,,,,,,2028,15,11,2007
11355,,,,,,,,,2027,,30,9,2022
7525,,,,,,,,,,2028,7,11,2013
5587,,,,,,2024,,,,,19,8,2009
3564,,,,,,2024,,,,,20,4,2005
6355,,,,,,,,,,2028,1,6,2011
5268,,,,,,2024,,,,,21,5,2008
11701,,,,,,,,,2027,,1,3,2023
5486,,,,,,2024,,,,,15,11,2007
10576,,,,,,,2025,,,,12,3,2021
4718,,,,,2023,,,,,,,,
3895,,,,,,,,2026,,,8,9,2004
7116,,,,,2023,,,,,,10,8,2012
6130,,,,,,,,,,2028,14,1,2011
8510,,,,,,2024,,,,,11,2,2016
6093,,,,,2023,,,,,,29,11,2010
5224,,,,,2023,,,,,,17,10,2007
5076,,,,,2023,,,,,,,,
7569,,,,,2023,,,,,,6,6,2013
11794,,,,,,,,,,2028,2,4,2024
8660,,,,,2023,,,,,,20,4,2016
11356,,,,,,,,,2027,,30,9,2022
8486,,,,,,,,,2027,,25,11,2015
7177,,,,,,,,,,2028,10,10,2012
5588,,,,,,2024,,,,,19,8,2009
3563,,,,,,2024,,,,,20,4,2005
6354,,,,,,,,,,2028,1,6,2011
5267,,,,,,2024,,,,,21,5,2008
10175,,,,,,2024,,,,,8,1,2020
5487,,,,,,2024,,,,,15,11,2007
10577,,,,,,,2025,,,,12,3,2021
4719,,,,,2023,,,,,,,,
3894,,,,,,,,2026,,,8,9,2004
7115,,,,,2023,,,,,,10,8,2012
6131,,,,,,,,,,2028,14,1,2011
8509,,,,,,2024,,,,,11,2,2016
6094,,,,,2023,,,,,,29,11,2010
5225,,,,,2023,,,,,,17,10,2007
7490,,,,,2023,,,,,,12,11,2013
9200,,,,,2023,,,,,,13,4,2017
10484,,,,,,,2025,,,,27,10,2020
11617,,,,,,,,,,2028,27,10,2020
8485,,,,,,2024,,,,,25,11,2015
7526,,,,,,,,,,2028,7,11,2013
5863,,,,,,2024,,,,,16,4,2010
6188,,,,,,2024,,,,,14,1,2011
6356,,,,,,,,,,2028,1,6,2011
5269,,,,,,2024,,,,,21,5,2008
10174,,,,,,2024,,,,,8,1,2020
10578,,,,,,,2025,,,,12,3,2021
4720,,,,,2023,,,,,,,,
5989,,,,,,,,2026,,,21,7,2010
8307,,,,,2023,,,,,,8,7,2015
6132,,,,,,,,,,2028,14,1,2011
9234,,,,,,,,2026,,,28,8,2017
11616,,,,,,,,,,2028,28,11,2023
10579,,,,,,,2025,,,,12,3,2021
1711,,,,,2023,,,,,,8,12,2004
7496,,,,2022,,,,,,,12,11,2013
11896,,,,,,,,,,2028,17,4,2024
7861,,,,,,,,,,2028,26,8,2014
6342,,,,,2023,,,,,,12,3,2011
9609,,,,,2023,,,,,,30,8,2018
8873,,,,,,,,,2027,,22,9,2016
8118,,,,,,,2025,,,,21,4,2015
6302,,,,,2023,,,,,,4,5,2011
11346,,,,,,,,,2027,,5,4,2023
5484,,,,,,,,2026,,,21,5,2008
8462,,,,,2023,,,,,,12,8,2015
7769,,,,,2023,,,,,,10,3,2014
3990,,,,,2023,,,,,,2,5,2007
7038,,,,2022,,,,,,,27,3,2013
1712,,,,,2023,,,,,,8,12,2004
7497,,,,2022,,,,,,,12,11,2013
11897,,,,,,,,,,2028,21,5,2008
7862,,,,,,,,,,2028,26,8,2014
6343,,,,,2023,,,,,,12,3,2011
9610,,,,,2023,,,,,,30,8,2018
8874,,,,,,,,,2027,,22,9,2016
8119,,,,,,,2025,,,,21,4,2015
6303,,,,,2023,,,,,,4,5,2011
11347,,,,,,,,,2027,,5,4,2023
5485,,,,,,,,2026,,,21,5,2008
7384,,,,,2023,,,,,,12,4,2013
7768,,,,,2023,,,,,,10,3,2014
4094,,,,,2023,,,,,,2,5,2007
7037,,,,2022,,,,,,,27,3,2013
1713,,,,,2023,,,,,,8,12,2004
7498,,,,2022,,,,,,,12,11,2013
6301,,,,,2023,,,,,,4,5,2011
11348,,,,,,,,,2027,,5,4,2023
7767,,,,,2023,,,,,,10,3,2014
5565,,,,,2023,,,,,,6,4,2009
7724,,,,,2023,,,,,,23,6,2014
11345,,,,,,,,,2027,,5,4,2023
5761,,,,,2023,,,,,,13,1,2010
6100,,,,,2023,,,,,,6,10,2010
10357,,,,,,2024,,,,,17,4,2019
6101,,,,,2023,,,,,,6,10,2010
9745,,,,2022,,,,,,,17,4,2019
8403,,,,,,,,,,2028,25,6,2015
5376,,,,,,,,2026,,,6,2,2009
5811,,,,,2023,,,,,,17,2,2009
10547,,,,,,,2025,,,,26,1,2021
7727,,,,,,,,,,2028,20,5,2014
5856,,,,,,2024,,,,,13,1,2010
7601,,,,,,,,,2027,,12,11,2013
7184,,,,,2023,,,,,,28,12,2012
10580,,,,,,,2025,,,,21,4,2021
3367,,,,,,,,,2027,,15,11,2002
8444,,,,,2023,,,,,,22,10,2015
9353,,,,,,,,2026,,,10,11,2017
9063,,,,,,2024,,,,,22,12,2016
10814,,,,,,,,2026,,,26,10,2021
5278,,,,,2023,,,,,,14,10,2008
5252,,,,,2023,,,,,,30,4,2008
8542,,,,,,2024,,,,,9,3,2016
9065,,,,,,2024,,,,,22,12,2016
9064,,,,,,2024,,,,,22,12,2016
7510,,,,,,,,,2027,,6,8,2013
9160,,,,,,,,2026,,,10,5,2017
9161,,,,,,,,2026,,,10,5,2017
10191,,,,,,2024,,,,,8,4,2020
8312,,,,,,2024,,,,,22,4,2015
7947,,,,,2023,,,,,,2,12,2014
11322,,,,,,,,,2027,,5,4,2023
10192,,,,,,2024,,,,,23,3,2020
8313,,,,,,2024,,,,,22,4,2015
11748,,,,,,,,,,2028,25,6,2024
10190,,,,,,2024,,,,,8,4,2020
11747,,,,,,,,,,2028,25,6,2024
10635,,,,,,,2025,,,,27,5,2021
11188,,,,,,,,,2027,,14,4,2022
10636,,,,,,,2025,,,,27,5,2021
11189,,,,,,,,,2027,,14,4,2022
11190,,,,,,,,,2027,,14,4,2022
8035,,,,,2023,,,,,,17,9,2014
8034,,,,,2023,,,,,,17,9,2014
8721,,,,,,,,,,2028,18,2,2016
8722,,,,,,,,,,2028,18,2,2016
8723,,,,,,,,,,2028,18,2,2016
7729,,,,,,,,,2027,,20,8,2014
7869,,,,,,,,,2027,,14,10,2014
11797,,,,,,,,,2027,,20,9,2023
4646,,,,,2023,,,,,,,,
7332,,,,,2023,,,,,,19,4,2013
9496,,,,2022,,,,,,,30,5,2018
4313,,,,,2023,,,,,,15,10,1997
2886,,,,2022,,,,,,,25,10,2002
3902,,,,,,2024,,,,,24,8,2005
11788,,,,,,,,,,2028,2,4,2024
4067,,,,,,,2025,,,,13,6,2007
10122,,,,,,2024,,,,,26,2,2020
7156,,,,,,,,,,2028,10,10,2012
4714,,,,,2023,,,,,,,,
4362,,,,,2023,,,,,,,,
10202,,,,,,2024,,,,,3,6,2020
6385,,,,,2023,,,,,,7,4,2011
3903,,,,,,,,,,2028,15,6,2005
9157,,,,,,,,2026,,,19,6,2017
2748,,,,,2023,,,,,,10,2,1986
11088,,,,,,,,,,2028,29,3,2021
4423,,,,,2023,,,,,,,,
856,,,,,,,,,,2028,21,7,1994
5589,,,,,2023,,,,,,26,8,2009
8341,,,,,2023,,,,,,13,8,2015
7155,,,,,,,,,,2028,10,10,2012
4715,,,,,2023,,,,,,,,
4361,,,,,2023,,,,,,,,
4568,,,,,2023,,,,,,,,
4641,,,,,2023,,,,,,,,
4610,,,,,2023,,,,,,,,
4621,,,,,2023,,,,,,,,
7558,,,,2022,,,,,,,17,7,2013
10168,,,,,,,,,,2028,24,1,2020
259,,,,,2023,,,,,,7,7,1994
4499,,,,,2023,,,,,,,,
3992,,,,,,,,,2027,,7,11,1991
1499,,,,,,,,,,2028,1,6,1999
7220,,,,,,,,,,2028,17,7,2013
7543,,,,2022,,,,,,,23,10,2013
5211,,,,,2023,,,,,,27,5,2008
6220,,,,,2023,,,,,,4,2,2011
10120,,,,,,,,,,2028,26,2,2020
9045,,,,,,2024,,,,,24,11,2016
9907,,,,,2023,,,,,,29,5,2019
11502,,,,,,,,,2027,,28,8,2023
9843,,,,,,,,,,2028,8,5,2019
164,,,,2022,,,,,,,18,2,2003
4481,,,,,2023,,,,,,,,
4600,,,,,2023,,,,,,,,
8081,,,,,2023,,,,,,20,11,2014
4567,,,,,2023,,,,,,,,
6872,,,,,,,,,2027,,11,11,2009
4523,,,,,2023,,,,,,,,
4634,,,,,2023,,,,,,,,
2747,,,,,2023,,,,,,31,10,1972
7321,,,,2022,,,,,,,20,2,2013
4618,,,,,2023,,,,,,,,
11478,,,,,,,,,2027,,2,10,2023
1089,,,,,,,2025,,,,18,6,1986
5500,,,,,,,,,,2028,27,6,2009
8192,,,,,,,,,,2028,5,5,2015
11819,,,,,,,,,,2028,18,7,2024
4400,,,,,2023,,,,,,,,
7531,,,,2022,,,,,,,7,11,2012
1440,,,,,,2024,,,,,4,9,2003
1548,,,,,,,,,2027,,10,9,2004
1088,,,,,,,2025,,,,20,2,1985
5499,,,,,,,,,,2028,27,6,2009
8191,,,,,,,,,,2028,14,5,2015
11180,,,,,,,,,2027,,13,10,2022
9445,,,,2022,,,,,,,20,3,2018
8807,,,,,,2024,,,,,3,9,2016
9179,,,,,,,,,2027,,13,6,2017
9180,,,,,,,,,2027,,13,6,2017
4397,,,,,2023,,,,,,,,
9919,,,,,2023,,,,,,15,5,2019
4632,,,,,2023,,,,,,,,
771,,,,,,,,,,2028,15,12,2000
11376,,,,,,,,,2027,,12,5,2022
772,,,,,,,,,,2028,15,12,2000
9320,REP,,2021,,,,,,,,7,12,2016
5298,,,,,,,,,2027,,4,11,2008
4287,,,,,2023,,,,,,,,
5783,,,,,,,,,,2028,17,2,2010
9686,,,,2022,,,,,,,3,5,2018
11881,,,,,,,,,,2028,18,7,2024
8870,,,,,,2024,,,,,27,6,2016
3698,,,,,2023,,,,,,12,3,1997
7560,,,,,2023,,,,,,7,11,2013
4431,,,,,2023,,,,,,,,
8932,,,,,,,,2026,,,30,1,2017
