MoPHCode,rep,2019,2021,2022,2023,2024,2025,2026,2027,2028,registrationDate,registrationMonth,registrationYear
5844,,,,,,2024,,,,,27,1,2010
10619,,,,,,,2025,,,,12,3,2021
10981,,,,,,,,2026,,,10,12,2021
10983,,,,,,,,2026,,,10,12,2021
1028,,,,,,,,,,2028,16,8,2002
10592,,,,,,,2025,,,,12,3,2021
2017,,,,,,,,,,2028,9,10,2003
8087,,,,,,,,,,2028,7,1,2015
8113,,,,,,,,,,2028,7,1,2015
5263,,,,,,,,,,2028,22,9,2008
5262,,,,,,,,,,2028,22,9,2008
1037,,,,,,2024,,,,,26,9,1990
5061,,,,2022,,,,,,,11,10,2007
2029,,,,,,,,,2027,,3,5,1992
8088,,,,,,,,,2027,,7,1,2015
5842,,,,,,2024,,,,,27,1,2009
5843,,,,,,2024,,,,,27,1,2010
2016,,,,,,,,,,2028,9,10,2003
8085,,,,,,,,,,2028,7,1,2015
8111,,,,,,,,,,2028,23,4,2015
7961,,,,,,,,,,2028,30,5,2014
1039,,,,,,2024,,,,,22,2,1989
2025,,,,,,,,,2027,,6,8,1988
8496,,,,,,,,,2027,,7,1,2015
5057,,,,2022,,,,,,,11,10,2007
8907,,,,,,,,,,2028,26,10,2016
10292,,,,,,2024,,,,,25,6,2020
11866,,,,,,,,,,2028,25,6,2024
5264,,,,,,,,,,2028,22,9,2008
2124,,,,,,,,,,2028,7,2,2003
8413,,,,,,,,,,2028,18,12,2015
7239,,,,,,2024,,,,,9,5,2013
10560,,,,,,,2025,,,,18,2,2021
10559,,,,,,,2025,,,,8,5,2019
9165,,,,,,,,2026,,,5,7,2017
5374,,,,,,,,,2027,,6,2,2009
9115,,,,,,,,,,2028,7,5,2017
4699,,,,,,2024,,,,,,,
5948,,,,,2023,,,,,,14,5,2010
5136,,,,,,,,,2027,,11,10,2007
5083,,,,,2023,,,,,,27,6,2007
11282,,,,,,,,,2027,,27,6,2007
5375,,,,,,,,,2027,,6,2,2009
8579,,,,,,2024,,,,,22,3,2016
897,,,,,,,,,,2028,24,10,2003
4301,,,,,2023,,,,,,6,8,2004
9012,,,,,,,,,,2028,8,2,2017
4642,,,,,,2024,,,,,,,
3685,,,,,,,,,2027,,21,11,2002
4700,,,,,,2024,,,,,,,
5137,,,,,,,,,2027,,11,10,2007
9011,,,,,,,,,,2028,8,2,2017
5163,,,,,2023,,,,,,15,11,2007
5115,,,,,,2024,,,,,19,11,2007
6031,,,,,2023,,,,,,8,9,2010
11280,,,,,,,,,2027,,16,2,2023
8581,,,,,,2024,,,,,22,3,2016
5693,,,,,,2024,,,,,26,10,2009
