code,reg_number
4481,22448
4103,2803/94
4104,2836/94
11983,83824/1
7735,45814/1
1161,135391
8503,172515/1
1385,14247
7222,185811/13
7221,185810/13
2248,78728/97
2249,78727/97
10917,110620/1
10895,65421/1
4576,19273
4577,19264
11329,130922/1
4351,20606
11357,19423/1
4350,20607
11359,19523/1
7235,221853/08
10852,185518/1
6965,96393/11
6966,96392/11
10246,135019/1
10247,134919/1
10245,135119/1
10112,83418/1
10113,83318/1
10111,83018/1
10110,83118/1
10109,83218/1
11313,67222/1
11314,67322/1
8613,185815/13
7729,78214/1
7869,108014/1
8098,154814/1
5187,24726/07
5186,24725/07
5189,24693/07
5188,24724/07
5190,24691/07
5191,24692/07
8479,133715/1
9326,112917/1
11620,112722/1
11152,124521/1
11266,8121/1
11267,6321/1
5766,218753/09
4275,78968/98
4276,78969/98
4278,78966/98
10294,36320/1
10295,42420/1
11450,133721/1
4578,46
6714,167735/11
10749,98720/1
6405,218692/10
2250,78977
6469,219212/09
6903,97958/12
2251,236347
9836,165116/1
6309,24676/07
6308,23639/06
8924,129615/1
7258,185912/13
10865,63520/1
10789,144820/1
10788,144720/1
11226,92420/1
11921,98422/1
9467,162017/1
9465,162117/1
9466,162217/1
11511,92121/1
11512,92321/1
11297,11718/1
11296,157222/1
11647,138623
10855,16318/1
6529,166827/11
6530,166826/11
6605,166828/11
6604,166829/11
1659,405927/00
1658,405929/00
11583,66822/1
11835,69724/1
11836,69524/1
11843,32124/1
2263,B0341/91
3943,195255/04
11860,77122/1
11318,147422/2
8090,9415/1
5277,222419/08
5659,219730/09
5658,219729/09
753,148316/03
754,148317/03
6853,219210/09
6512,221349/08
8876,67616/1
9916,104916/1
3987,208360/02
760,208806/03
761,208807/03
3777,208361/02
5774,221695/08
1660,973910/02
2266,973405/01
8617,49816/1
6422,219554/09
7242,186375/13
6505,218905/10
2271,973948/02
1842,208669/03
6719,222203/07
2272,0236861/99
5966,168034/10
1394,208593/03
1395,973915/02
11706,140122/1
10427,97020/1
11202,150221/1
11201,150121/1
11479,152320/1
11480,152420/1
11481,152520/1
11358,43622/1
3906,194122/05
3907,194123/05
7452,186077/13
7397,166541/11
7396,166542/11
3920,195349/04
4095,194343/05
4097,194345/05
9730,47219/1
11852,177520/1
5116,23727/06
5117,23728/06
10996,26721/1
2277,136
6218,222287/08
6013,24702/07
4387,208844/03
4388,208843/03
1852,148347/04
3780,208987/03
5045,24129/06
521,405528
522,405527
11311,41122
11312,107821
10889,77121/1
8651,13716/1
4579,2770
4580,2775
8920,121816/1
2736,767285/00
2793,E0344/91
9389,146917/1
4581,405501
11330,155722/1
11961,96023/1
285,MPA 2272/94
2282,78753/97
2283,236215/98
2285,78752/97
291,MPB 2893/94
292,MPC 2893/94
9141,31717/1
9160,30817/1
9161,30917/1
8048,127914/1
5976,24688/07
6163,219707/09
7493,187200/14
5667,221862/08
7421,187099/13
7423,187100/13
7933,186156/13
5626,24330/06
9660,94618/1
11366,20322/1
11368,20522/1
11367,20422/1
4389,78771/98
9149,1017/1
10086,139219/1
10087,139119/1
4582,405502
11244,59020/1
11245,59120/1
10323,175119/1
10085,125519/1
10084,139319/1
1248,974065/02
5155,0023735/06
1256,28600
11929,88322/1
2295,208475
1662,78815/98
1819,261314
1840,974042/02
5310,221198/08
7093,187500/13
11162,33520/1
5938,218560/10
7092,187499/13
5931,218870/09
1139,208268/96
786,973407/01
3956,195457/04
3464,973899/02
3939,195321/04
6655,219213/09
6656,219214/09
5823,219716/09
11785,FE26823/1
11786,FE26623/1
11787,FE26523/1
11784,FE26723/1
7973,186972/14
10320,117519/1
5298,24541/07
9132,187457/13
7075,96407/11
7074,96408/11
4390,974245/01
3959,194930/05
3960,194929/05
7168,97242/12
6410,24657/07
5967,23707/06
6047,167087/10
8404,117015/1
8406,116815/1
9657,115318/1
8405,116915/1
1179,27204
10290,110616/1
6404,218693/10
8751,31416/1
5235,24916/07
7661,186451/12
7660,96900/12
11550,116723/1
11551,116723/1
10015,34417/1
10491,162220/1
10490,163020/1
5775,221696/08
1402,405684/00
1403,208723/03
8292,101015/1
11225,153521/1
11316,153521/1
6544,167191/10
9975,23719/1
11886,21622/1
1255,28599
1253,23910/78
1820,135361
10423,63620/1
10846,100321/1
10751,167602/10
10982,29822/1
5306,24452/06
10874,27222/1
11903,128423/1
10873,27322/1
11904,128523/1
6574,218776/09
11353,79118/1
1864,973346/01
6824,166942/11
11774,137323/1
11775,137423/1
11776,137523/1
4586,19269
4587,20039
5021,22269
3592,973408/01
