MoPHCode	RegistrationNumber
4028	23638/06
9859	66716/1
11284	24622/1
11288	24522/1
11289	24422/1
11285	24722/1
11286	24322/1
11287	24222/1
11325	147822/1
11326	147922/1
11585	106523/1
10085	125519/1
9597	135418/1
9748	41219/1
9749	41119/1
10282	23320/1
10281	23220/1
7533	185973/13
7323	167465/10
8788	114116/1
9150	59017/1
5900	218156/09
8202	42115/1
5901	218157/09
5902	218158/09
8441	133815/1
8944	178816/1
9550	41718/1
10625	83120/1
10195	143719/1
11112	103421/1
845	26396
868	27956
867	27955
869	27957
870	27958
8194	69715/1
9806	152818/1
7118	218708/10
8195	69815/1
9807	152718/1
7119	218709/10
8196	69615/1
9805	152918/1
7117	218707/10
7641	186523/13
7640	186522/13
7642	186524/13
7639	186521/13
7506	186167/13
11588	92622/1
7404	186067/13
5596	221983/09
8063	140014/1
5599	218030/09
8064	140114/1
8065	140214/1
8066	140314/1
6055	218105/09
11052	155322/1
10997	117921/1
11261	177420/1
10182	156619/1
6056	218106/09
11555	23823/1
11053	155422/1
10999	118021/1
11262	177220/1
10183	156719/1
10725	12819/1
6057	218107/09
11556	23923/1
11054	155522/1
10998	118121/1
10185	156819/1
10726	12919/1
6058	218108/09
11557	24023/1
11055	155622/1
11000	118221/1
11260	177120/1
10184	156919/1
10727	13019/1
11033	50122/1
11547	146421/1
11549	146721/1
10730	90420/1
11377	79019/1
10729	90520/1
11375	79119/1
11181	45521/1
4602	20040
4306	25489
4603	22583
57	78801
1822	28589
4595	19266
11183	130722/1
1278	27796
7664	185966/13
9479	183017/1
6320	195461/04
11648	138423/1
11649	138523/1
5109	194036
796	974475/00
1823	78834
4402	208367/97
1277	27795
7595	186153/13
530	973727/02
10846	100321/1
11884	112822/1
8707	127715/1
1402	405684/00
9288	2817/1
11883	113422/1
9889	20019/1
11474	77723/1
7594	186152/13
11476	FE52523/1
8610	36015/1
7665	186792/14
3993	195324/04
10423	63620/1
1812	974207/01
767	208383/97
11647	138623
10091	93814/1
5180	222369/08
1497	974019/02
3486	148177/03
1735	973337/01
2107	208370/02
10260	110518/1
1736	973336/01
482	27943/95
9263	83217/1
9436	158717/1
5325	221192/08
9416	17916/1
9354	215/1
5216	222260/08
10859	177118/1
11216	67722/1
7624	187462/13
7659	186640/13
4458	38/95
11206	47819/1
8726	45416/1
1177	135268
7535	187084/13
9544	161915/1
7706	185830/13
5734	219572/09
11829	20224/1
3435	261464/97
5914	221748/08
10892	77021/1
10891	97321/1
10294	36320/1
7328	185998/13
10889	77121/1
10295	42420/1
4597	22323
11697	142422/1
4456	974248/01
3433	261383/97
5735	219579/09
3747	261382/97
6310	23640/06
11487	124722/1
11661	42323/1
9915	159015/1
10914	153620/1
9523	48818/1
11450	133721/1
11486	124622/1
11488	124722/1
7919	98214/1
1137	208273/96
7920	100714/1
9823	158918/1
10193	15319/1
6252	166603/11
3086	27794
11409	56418/1
6248	167844/11
2581	23524/77
9216	54517/1
10073	179219/1
11298	167220/1
3651	26539
8508	2716/1
10662	114320/1
11117	83720/1
11817	20024/1
6768	97031/12
11354	63022/1
11116	165720/1
10887	76921/1
7417	97970/12
10010	187818/1
1543	208591/03
7345	167086/10
9442	8718/1
8222	78815/1
3596	973375/01
11202	150221/1
11706	140122/1
10427	97020/1
11201	150121/1
7246	97801/11
8463	113715/1
8526	119815/1
8433	112715/1
11894	22421/1
7176	97681/11
8464	113615/1
10504	193019/1
10214	39318/1
9099	134314/1
10668	84621/1
9281	28317/1
10117	17820/1
10025	34819/1
10505	193419/1
10213	39418/1
11550	116723/1
11551	116723/1
9098	134414/1
10667	84521/1
9282	28217/1
10118	18720/1
10070	34919/1
10506	192519/1
10348	39518/1
10015	34417/1
9097	134514/1
10666	84721/1
9283	28117/1
10024	35019/1
10480	13017/1
5419	024995/07
11753	22722/1
571	974097/02
4661	28559/87
3683	261367
11553	121023/1
11867	77024/1
11419	98520/1
1403	208723/03
1832	195033/04
8068	127314/1
1725	148237/03
9638	43017/1
3484	195059/04
765	236711/99
10200	132019/1
10201	132219/1
8461	106214/1
6054	219239/09
8869	158716/1
9839	142018/1
9841	142118/1
2869	261402
11238	76621/1
11845	161923/1
9489	22018/1
9766	78618/1
363	405431/00
11440	137822/1
6645	221151/08
8674	58616/1
7646	105914/1
3626	973310/01
7957	186797/14
7956	186798/14
8673	58516/1
8822	142616/1
10800	87720/1
7738	185957/13
10156	61218/1
10321	63720/1
4639	19810
6623	219326/09
7152	218144/09
8573	63114/1
4652	194751/04
4653	194752/04
7602	187181/13
7305	96603/12
10080	84519/1
10081	84419/1
6675	166756/11
6676	166762/11
5683	18987
11641	129419/1
11679	151222/1
9041	21517/1
11089	115722/1
974	MP CA 581/91
9040	21417/1
11091	115522/1
4725	27567/94
975	MP CB 581/91
11090	115622/1
9602	107818/1
10691	58320/1
10098	161519/1
10924	92820/1
10680	135520/1
9590	93318/1
10690	58220/1
10099	161419/1
10923	92720/1
10679	135420/1
10163	79719/1
10678	135320/1
8692	116/1
10793	90321/1
8366	67715/1
5462	219525/09
5542	221408/08
9857	191218/1
5253	23612/06
4453	973308/01
8214	96899/12
10079	103119/1
9970	40219/1
6549	167734/10
10157	4019/1
9972	28719/1
9971	40019/1
8175	97355/12
7194	187339/13
5791	219727/09
7163	186387/13
9008	33917/1
7576	185986/13
8785	88616/1
3999	195021/04
9818	187185/13
8925	57615/1
8478	142115/1
8527	158415/1
8015	38414/1
11499	4723/1
10825	193719/1
5776	219264/09
9768	98218/1
1872	261372
8921	163716/1
9731	139718/1
10622	141820/1
2731	26932
554	148175/03
5671	221979/09
10485	170917/1
9577	84518/1
3528	194040/05
8857	155816/1
8865	31516/1
8922	141714/1
8856	155916/1
5962	24687/07
5963	24686/07
8102	186199/13
9423	29018/1
8101	186198/13
9422	28918/1
8641	47116/1
6536	96363/11
6812	97391/12
10108	172119/1
10755	50021/1
11120	181920/1
4021	24496/06
4022	24497/06
7742	186351/13
8661	17316/1
8663	17516/1
8662	17416/1
2736	767285/00
9622	28318/1
9623	28418/1
2735	A0981/92
9880	187189/13
11696	142522/1
8743	42215/1
7101	186264/13
7026	96672/12
7645	185838/13
9856	16819/1
7743	186188/13
9227	86117/1
557	974206/00
10940	187219/1
10008	65619/1
3632	236276
3633	38940
3634	38941
2280	973343/01
9389	146917/1
11153	69221/1
11665	52923/1
7941	121614/1
7943	121414/1
7942	121514/1
8107	137914/1
11710	28924/1
4545	26509
9205	99317/1
5521	218015/09
5661	218013/09
5662	218016/09
10001	70319/1
10002	70119/1
9059	43217/1
9058	43417/1
5047	24125/06
197	27716
10400	168019/1
6484	218789/09
10858	92020/1
10896	195719/1
7913	99114/1
6886	219452/09
6374	167628/10
9698	35018/1
10038	76319/1
7918	100314/1
8011	100914/1
5043	195477/04
10019	158818/1
572	973895/02
7951	100614/1
7949	100514/1
7950	100414/1
8013	102514/1
10912	115120/1
7635	50114/1
7709	61014/1
10857	165320/1
196	27717
9948	49919/1
7434	185997/13
11332	146221/1
9941	49819/1
9945	49619/1
9947	49719/1
3740	78846/98
7307	96597/12
10441	173219/1
10750	105221/1
10797	3722/1
10669	70821/1
10198	5520/1
4535	26510
4537	77/95
4617	2723
10197	35620/1
8655	13916/1
11816	41023/1
6347	166795/11
11333	145921/1
10126	106719/1
8801	119416/1
10556	5920/1
6394	166805/11
4630	19214
6395	166806/11
3434	78844/98
11083	72822/1
11241	32822/1
8658	163215/1
3436	78845/98
11084	72622/1
4629	19213
3371	78843/98
11085	72722/1
11240	60121/1
8659	163315/1
6396	166807/11
9946	50319/1
11081	61022/1
4536	26511
4616	2846
4455	25649
8651	13716/1
11428	17323/1
1341	208895/03
5769	218191/09
7614	186971/14
9369	168717/1
10754	
8092	11715/1
8372	131115/1
5905	218578/10
5768	218190/09
6636	166955/11
11571	66922/1
11301	99822/1
11323	78722
9906	1819/1
10127	106819/1
11681	55023/1
11732	34024/1
1709	973937/02
11192	154421/1
8654	13816/1
1157	405961
4572	22575
10270	168519/1
8653	27316/1
7180	187452/13
11676	31222/1
11849	146723/1
7415	186108/13
4438	973304/01
7611	185929/13
9942	50119/1
9943	50219/1
8685	100415/1
8711	222944/14
11831	147423/1
10304	10120/1
10544	70720/1
11716	140023/1
10869	73018/01
10438	50820/1
11072	163520/1
11086	99922/1
11087	100022/1
11205	144121/1
6113	167511/10
11595	130422/1
5879	23739/06
4624	22584
6060	24959/07
9691	102817/1
10748	132720/1
9704	127418/1
9703	127318/1
7728	44514/1
9271	83017/1
9923	22619/1
9542	179617/1
10527	21920/1
9833	193718/1
9922	13419/1
9492	18316/1
10046	121419/1
103	38861
9315	125515/1
11660	134122/1
11305	67822/1
11306	69222/1
983	MP HO 581/91
531	973718/02
49	38699
6953	38855/96
10119	3571/1
2985	26415
53	38700
2980	25733
2979	24095
529	208316/02
2977	25734
2986	973478/02
2987	26876
528	208315/02
8159	46515/1
9126	43415/1
8138	187414/13
3265	261499
8766	74716/1
10539	57920/1
5827	218727/10
5942	218571/10
4433	194498/06
6527	167701/10
8764	74516/1
10538	60220/1
7835	186179/13
6526	167702/10
8765	74616/1
9810	158318/1
5826	218726/10
6528	166512/11
10455	18520/1
5177	24730/07
7010	168241/10
10456	18220/1
6271	221872/08
7011	168242/10
10509	18420/1
6272	221873/08
6359	221874/08
6635	167485/10
9799	122718/1
6311	24970/07
8704	85216/1
6622	24989/07
6570	218590/10
6324	167454/10
6689	167644/10
9798	122818/1
6312	24971/07
8705	85316/1
6621	24990/07
6569	218591/10
6327	167453/10
6620	219514/09
11644	158018/1
10535	9320/1
11851	64022/1
8481	157915/1
8809	110016/1
7350	221889/08
10536	9420/1
8561	26616/1
11850	63922/1
8482	158015/1
8810	110116/1
11426	41123/1
6919	221890/08
6721	166966/11
10537	9520/1
8562	26716/1
8483	158115/1
8811	110216/1
11427	41223/1
10790	3622/1
6722	166967/11
6887	166620/11
9822	91418/1
11158	123322/1
10148	86017/1
9634	179316/1
9519	38918/1
9520	39018/1
6007	219238/09
5364	222449/08
7858	186459/12
6879	167720/10
5538	221685/08
8390	80015/1
9615	98618/1
9664	83918/1
6008	219237/09
8223	79015/1
5365	222448/08
9297	128415/1
7857	186458/12
6880	167719/10
11811	55924/1
5537	221684/08
8389	79915/1
8883	79816/1
9613	98418/1
9663	84018/1
5387	222458/08
9614	98518/1
7346	97671/11
8738	56516/1
7732	48214/1
6164	167810/11
8388	79815/1
9612	98318/1
7469	185984/13
10847	156019/1
7470	185981/13
10849	156119/1
7471	185983/13
7472	185982/13
10848	156219/1
7707	222911/14
11882	77624/1
7708	28814/1
8347	186607/13
8348	186608/13
8349	186609/13
8350	186610/13
8351	186611/13
9846	5119/1
9847	5219/1
9848	5219/1
4376	2234/94
4337	22166
10789	144820/1
7228	187346/13
10788	144720/1
9123	101716/1
9122	101816/1
9124	101616/1
1167	19863
4552	24966
2365	973038/01
11386	25123/1
2366	973040/01
11387	25023/1
5806	219496/10
5807	219497/10
5808	219498/10
9242	73817/1
10978	4921/1
9450	69118/1
9451	69218/1
9452	69318/1
9453	69418/1
9767	186518/1
10331	109718/1
10330	109618/1
4581	405501
11330	155722/1
4418	2437/94
4457	2433/94
9871	8219/1
4425	2248/94
9913	19119/1
4424	2247/94
4427	2249/94
4428	2250/94
11197	126721/1
11735	38821/1
11196	126821/1
11736	38921/1
11195	126921/1
11737	39021/1
1253	23910/78
1255	28599
8783	107716/1
9855	164918/1
5306	24452/06
7689	222908/14
5274	24987/07
7680	185939/13
8830	165216/1
5785	19403/05
6295	219704/09
8998	150816/1
7362	221893/08
9516	92118/1
7394	96679/12
11537	56023/1
9279	169315/1
6934	97459/12
5548	222492/08
6294	219705/09
8999	150916/1
7363	221894/08
9515	92218/1
7395	96678/12
11538	55923/1
9280	169415/1
6935	97460/12
5335	24988/07
5549	222491/08
8831	165316/1
5784	24396/06
9541	45818/1
8382	104314/1
8383	104414/1
8515	96815/1
8242	63814/1
10702	221908/08
8516	96915/1
8243	63914/1
10703	221909/08
8384	104914/1
8385	105014/1
8244	64014/1
10686	88720/1
8245	64114/1
7856	186124/13
11077	164620/1
7982	186125/13
10706	93020/1
11079	164520/1
7855	186119/13
8386	105314/1
8387	105414/1
11078	164720/1
3077	973486/02
7585	186540/13
8575	187077/13
10900	24122/1
2650	208339
10521	17020/1
5802	221865/08
5958	218807/09
11074	56421/1
2669	236400
9879	17119/1
5520	24727/07
5522	221868/08
4070	194144/05
10522	17120/1
4398	236678/98
5524	221866/08
5042	194107/05
11075	56521/1
4071	194143/05
10523	17220/1
4399	973306/01
5523	221867/08
5040	194102/05
11076	56621/1
8261	186382/13
8262	186383/13
8263	186384/13
8264	186385/13
10698	77116/1
11639	38416/1
9649	68316/1
11107	17622/1
7647	186537/13
11572	10323/1
9651	68516/1
10699	77216/1
11640	38316/1
9650	68416/1
11108	17522/1
7648	186538/13
11573	10423/1
9648	68216/1
11106	17422/1
10430	142920/1
9325	42316/1
9164	84517/1
9162	84317/1
9163	84417/1
6797	97855/11
6798	97854/11
6799	97852/11
6800	97856/11
8894	138116/1
8895	138216/1
8896	138316/1
8897	138416/1
10843	118920/1
10842	119020/1
10841	119120/1
10840	119220/1
10431	75920/1
10432	75820/1
10433	75720/1
10434	75620/1
11464	3624
2427	B0981/92
9494	119216/1
4623	20375
4435	2864/94
4436	2865/94
10610	84420/1
4364	208365/97
10609	84520/1
10947	51622/1
8793	148416/1
11094	98622/1
4332	148305/03
2350	973315/01
8095	187096/13
11095	98522/1
4239	195348/04
8094	187097/13
10105	173817/1
8863	165315/1
570	973896
6850	97356/12
6995	97492/12
8587	103714/1
8864	165215/1
3909	194042/05
10844	117620/1
5416	222406/08
5417	222407/08
3376	974233/01
10023	67219/1
10919	161120/1
10022	67119/1
4401	2440/94
4565	24968
4566	24969
4242	10066
4243	10066
4404	2435/94
4406	2434/94
4516	25926
4517	25925
4519	25692
5275	24921/07
11060	16822/1
4262	974046/02
1857	973893/02
1531	974238/01
4464	208323/97
1672	405517/00
1256	28600
6389	24896/07
6895	97660/11
6606	166815/11
6001	219571/09
6884	219453/09
6538	219269/09
5223	24451
6003	219563/09
7488	96854/12
6885	219454/09
6607	96218/11
6608	96217/11
10319	138119/1
11615	80122/1
5464	222372/08
5336	24716/07
4355	194479/05
5968	218819/09
7371	97369/12
11023	38621/1
5289	23855/07
5368	24335/06
8377	97415/1
5672	24935/07
11024	38721/1
3180	27656
1248	974065/02
8753	35116/1
5823	219716/09
11785	FE26823/1
10811	79220/1
7027	97246/12
7223	221339/08
8469	106215/1
6258	222246/08
5155	0023735/06
11786	FE26623/1
10812	79320/1
7609	186548/13
8470	115515/1
8754	35216/1
11787	FE26523/1
10813	79420/1
7224	221340/08
8471	106315/1
6358	221315/08
11784	FE26723/1
7225	221338/08
8468	115415/1
3047	261364
8556	142215/1
8823	28516/1
5877	221406/08
8300	186182/13
11674	12922/1
10593	8720/1
11098	115422/1
5088	23893/07
8828	87616/1
8824	28616/1
8299	186181/13
11673	12822/1
10594	8820/1
5089	23892/07
8827	87716/1
11097	115822/1
5248	222234/07
8829	87816/1
7791	221152/08
8342	97215/1
9499	17318/1
7790	221153/08
8343	97315/1
9500	17418/1
8888	129516/1
8889	129416/1
7998	137514/1
11213	165820/1
7997	137614/1
11215	165920/1
7996	137714/1
11214	166020/1
10524	81820/1
11709	82020/1
885	38930/96
10465	171219/1
10466	170819/1
10467	171119/1
10468	171319/1
9007	173116/1
11102	47421/1
7514	185919/13
11101	47321/1
7518	185918/13
11100	47221/1
7516	185917/13
7515	185916/13
11099	47121/1
10855	16318/1
11852	177520/1
11738	9017/1
8165	2115/1
6197	222267/08
7878	133914/1
9201	103017/1
7559	167710/10
8960	115916/1
6088	219521/09
8466	113215/1
7360	221341/08
10420	102020/1
11018	99820/1
11536	55723/1
8961	115816/1
6089	219522/09
8467	115615/1
7361	221342/08
10419	102120/1
11015	99920/1
11535	55823/1
8096	32914/1
8177	33014/1
8950	133716/1
10417	30920/1
8949	133616/1
10416	31020/1
5711	221415/08
5710	221416/08
8491	112415/1
8951	133816/1
10418	31520/1
11028	141420/1
11123	74721/1
11029	141320/1
11122	74621/1
1241	148208/03
7121	096579/12
9284	116517/1
8797	84516/1
8419	138614/1
5801	219287/09
9285	116417/1
8796	84616/1
8420	138514/1
2855	L0344/91
8578	13416/1
8459	173715/1
9362	128817/1
11406	6422/1
5688	218890/09
5689	218892/09
10716	58921/1
10717	59021/1
10718	59121/1
10719	59221/1
10720	59321/1
10721	59421/1
10722	59521/1
9553	86218/1
9554	86318/1
9699	179418/1
10531	167820/1
5175	24510/07
11124	81220/1
4722	194310/05
4374	194478/05
6387	167975/11
4721	194309/05
7792	78514/1
5476	222443/08
5969	219277/09
4389	78771/98
4582	405502
2349	973933/02
4095	194343/05
4097	194345/05
3340	208872/03
11071	93622/1
7078	186299/13
11544	176520/1
10227	34120/1
4345	208033/03
11693	39923/1
4619	22578
9575	75918/1
11159	16522/1
5833	194113/05
958	973386/01
1191	MPO822/92
2661	236669
8402	138815/1
11830	20324/1
11853	109323/1
11324	77922/1
1747	405525/00
1686	
3483	208851/03
1746	1809/72
1685	24873/80
4611	43
6713	167738/11
11803	63421/1
5220	24700/07
11643	98923/1
10375	73620/1
7289	186123/13
9874	8519/1
9406	19118/1
9873	8919/1
1351	973999/02
1350	973998/02
11754	88422/1
6434	96443/11
4569	22063
4620	2849
11768	11421/1
10514	13221/1
10515	13321/1
4554	21361
4633	20595
4598	2724/94
10056	51019/1
4599	2765
4547	17629
8443	3215/1
10069	71919/1
10291	125416/1
11528	131422/1
10067	86919/1
10123	101119/1
10068	71819/1
11527	131322/1
11656	131522/1
10651	180520/1
1194	973487
6726	167462/10
8975	17617/1
8976	17717/1
10153	70916/1
10894	8122/1
5915	221730/08
7877	166948/11
10893	68121/1
3490	195335/04
6825	219243/09
9600	103318/1
7806	186265/13
6834	166621/11
5624	23631/06
11229	26621/1
8362	96651/12
6763	97661/11
1781	974473/00
11400	62022/1
5234	24915/07
5980	218766/09
11160	76221/1
11712	6223/1
4607	2848/94
9531	86516/1
9419	142114/1
10252	76420/1
4270	18540
11235	148721/1
11234	148821/1
2576	20112
8144	35915/1
8920	121816/1
7744	187092/13
3847	26814
2634	236878/99
9842	189518/1
1384	208296/03
9019	108816/1
603	26597
4660	28556/93
1383	208332/02
5949	24985/07
4354	2438/94
5891	218677/10
10805	129520/1
9246	78717/1
11578	41823/1
10804	129720/1
9247	78617/1
10803	129620/1
9248	78517/1
11577	41923/1
11126	100222/1
5356	194555/04
10898	20314/1
11125	100122/1
5357	194556/04
1595	973435/01
5250	222389/08
11184	99620/1
11185	99720/1
5984	168047/10
11186	99520/1
11127	99722/1
11128	120722/1
6073	167170/10
10115	109019/1
7907	116014/1
7908	116114/1
9667	34318/1
9668	34218/1
7445	219222/09
6474	168224/10
2227	38682
8435	114715/1
6097	243733/07
11751	819/01
10145	119619/1
7989	136714/1
8543	174715/1
11067	111421/1
11554	52622/1
1179	27204
10897	9714/1
6158	222434/08
5121	23742/07
8800	172516/1
9239	98217/1
11717	90418/1
6217	221174/08
8782	141316/1
9238	98317/1
10162	104319/1
10180	106019/1
10179	106119/1
10107	63819/1
1878	208478
1879	135386
8374	95315/1
2226	208689/03
6120	24986/07
2370	973474/02
5625	194557/04
5630	221734/08
9245	78417/1
7534	186628/13
10862	7921/1
4563	25694
4636	22585
2127	G0344/91
4416	2237/94
4583	2721
4593	2722
7730	186054/13
7731	186055/13
4350	20607
11359	19523/1
4351	20606
11357	19423/1
4638	19270
1057	78953/98
6992	97367/12
11687	16623/1
7771	222933/14
6942	96592/12
5353	24105/06
7487	218864/09
1058	236700/99
7864	96553/12
5161	24350/06
6243	24951/07
11688	16723/1
7772	222932/14
6293	167833/11
6941	96593/12
2973	208576/03
7047	218865/09
4082	195275/04
6991	97368/12
11686	16523/1
7770	222934/14
6940	96591/12
5354	221981/06
7486	218577/10
8407	158515/1
11890	72221/1
5970	219336/09
5971	219335/09
5194	23729/06
10817	163820/1
10762	128820/1
10424	92220/1
10643	53221/1
10768	101621/1
4541	22066
4628	19219
9537	29818/1
7393	187413/13
10649	48117/1
8952	145416/1
9358	119517/1
8847	49016/1
9505	102016/1
11695	154022/1
8424	60315/1
9860	131116/1
9454	162416/1
11862	147320/1
5912	221710/08
5143	23624/06
2288	27737
9204	99915/1
5913	221700/08
4380	2231/94
4650	27808/94
4649	27807/94
7530	96204/11
1239	26887
3491	208592/03
9739	154118/1
5859	218109/09
11451	30523/1
11227	132620/1
9391	9118/1
10013	4217/1
6048	218702/10
4290	208377/97
4295	68
7285	218723/10
10681	16621/1
10125	105519/1
7909	96207/1
4370	208686/03
6835	97986/12
10124	111319/1
9624	63018/1
2289	38852
3774	16188/68
3775	16189/68
1655	973395/01
10296	143819/1
4651	27809/94
3592	973408/01
4293	67
4294	69
10138	147119/1
4395	973438/01
8709	32416/1
4396	973439/01
8708	32316/1
4564	973302
4587	20039
5021	22269
5781	219553/09
9989	61019/1
9990	61219/1
9991	61119/1
9992	60919/1
10753	155620/1
9685	101118/1
1352	973940/02
4540	15890
5241	24893/07
6762	219256/09
10865	63520/1
8748	20715/1
4429	25660
9927	64619/1
6691	97043/12
4589	19216
4463	2867/94
4622	148351
11110	121022/1
11334	146121/1
2521	78772
11664	86423/1
4586	19269
8634	36116/1
6013	24702/07
4387	208844/03
1852	148347/04
3853	973448/01
8633	36016/1
8284	117214/1
8635	36216/1
4388	208843/03
3854	208362/02
8833	102416/1
7222	185811/13
10792	186087/13
11475	FE52623/1
11421	34519/1
7221	185810/13
11497	122019/1
8404	117015/1
10742	151617/1
10055	132619/1
11036	97922/1
9535	34117/1
11038	99022/1
5647	219539/09
9196	45817/1
5648	219538/09
7922	186536/13
4288	20949
4331	1251
8406	116815/1
9657	115318/1
3570	208656/03
3959	194930/05
5691	973982/02
1491	973313/01
803	973367/01
8405	116915/1
3960	194929/05
804	973366/01
484	405464/00
10176	90619/1
7255	218721/10
5292	194488/05
7256	218722/10
5988	222387/08
7509	186613/13
11702	65022/1
7562	167742/11
8060	39914/1
5159	24369/06
6388	167976/11
10743	107521/1
11655	84123/1
7304	187344/13
6237	167090/10
9747	59516/1
5182	24888/07
6986	97366/12
5519	24728/07
10744	107421/1
11037	97822/1
10901	144116/1
7437	185962/13
11874	149523/1
8329	166511/11
9746	84716/1
9532	46218/1
7257	96665/12
9940	177518/1
7502	97977/12
8456	135514/1
8457	135414/1
4061	24466/06
4524	21360
4635	2719
11309	170118/1
7662	96720/12
10801	175019/1
8323	111915/1
10220	110816/1
7839	80314/1
8957	151016/1
11533	4020/1
7057	96748/12
3382	974208/01
11436	138022/1
9918	152018/1
3963	194932/05
7932	185926/13
11032	101819/1
9660	94618/1
5240	24304/06
11418	61518/1
9829	186618/1
9723	94318/1
6694	97657/11
11545	11720/1
6993	96418/11
11439	139222/1
369	26156
11435	137722/1
5363	24489/06
9764	124018/1
2451	78986/98
7527	185924/13
10332	35819/1
8749	61114/1
6752	167463/10
11353	79118/1
3525	195478/04
9345	152417/1
8363	186285/13
6360	218050/09
3962	194933/05
4098	24140/06
11730	85723/1
11580	119320/1
10089	129018/1
7153	166968/11
8750	185839/13
11073	115122/1
10831	164420/1
3733	236885
10016	54219/1
11508	53923/1
10972	51222/1
11678	53822/1
9661	94518/1
9725	123418/1
10942	51422/1
9049	186184/13
11863	132820/1
11420	90118/1
3961	194931/05
579	208325/02
4100	23872/07
11438	138222/1
5103	24980
11423	138122/1
9658	104018/1
11093	114922/1
10061	159316/1
9820	103717/1
1292	974214/01
10542	36118/1
9797	173318/1
6187	167601/10
11437	138722/1
9724	96418/1
11092	115022/1
10832	141920/1
7933	186156/13
11675	139123/1
7959	185985/13
9050	42214/1
11713	145823/1
10014	67419/1
3074	27365
2520	208343/97
7987	120214/1
8502	16215/1
6674	097668/11
9662	131418/1
11417	2319/1
9677	42616/1
11657	54322/1
7555	187342/13
5199	194467/05
5209	24544/07
7420	185991/13
10436	81520/1
11708	13123/1
10261	160619/1
11731	160619/1
11659	98723/1
3247	26167
10856	28720/1
3780	208987/03
9182	62917/1
4451	208842/03
4245	4904
6754	218697/10
4513	24284
5045	24129/06
9607	50318/1
8528	167115/1
8059	58914/1
2277	136
168	18000
5725	218035/09
6753	167639/10
4631	22576
4612	22581
3792	405663/00
3793	405664/00
5860	218712/10
5861	218713/10
10601	153820/1
10602	153720/1
10603	153920/1
10604	154020/1
11187	71121/1
966	236868/99
8155	22615/1
8853	93716/1
9511	81318/1
11411	24123/1
9313	108815/1
10710	162717/1
11870	55124/1
11762	28223/1
11705	75622/1
11868	55224/1
11763	28123/1
11704	75722/1
11869	55324/1
11764	28023/1
1161	135391
9368	131516/1
7265	167200/10
7310	97228/12
8183	51215/1
9782	90718/1
10092	126618/1
10979	123219/1
10980	185119/1
7596	186973/14
518	27480
11062	10521/1
8503	172515/1
11880	94224/01
11320	111822/1
6192	218554/10
9038	25017/1
2492	B0744/92
274	MPB 2271/94
275	MPD 2271/94
276	MPE 2271/94
2491	A0744/92
4227	2738/94
4229	2738/94
11650	123923/1
10771	63821/1
11151	8223/1
4231	2742/94
4235	2801/94
4237	2801/94
4238	2801/94
11412	161620/1
11413	161520/1
