MoPHCode	RegistrationNumber
10155	118319/1
11061	52422/1
8281	9815/1
9066	175116/1
4543	24964
9929	27714/1
2626	B0342/91
11363	105820/1
9950	173516/1
11733	71022/1
11734	71122/1
11199	79321/1
10735	186419/1
1752	27867
11342	64615/1
11365	114821/1
9952	173816/1
11744	71522/1
11745	71422/1
1757	405445/00
11344	64815/1
11364	105920/1
9951	173716/1
11742	71222/1
11743	71322/1
11198	79421/1
1758	405446/00
11343	64715/1
11362	118521/1
9949	173616/1
11740	70922/1
11741	54122/1
1759	27866
11341	64515/1
11746	71622/1
490	405401/00
10009	151718/1
6624	096354/11
6625	218322/09
6860	97208/12
6861	97209/12
10870	26922/1
11808	26922/1
7282	219456/09
6267	167816/11
5982	219461/09
6218	222287/08
5775	221696/08
6544	167191/10
9975	23719/1
11886	21622/1
10751	167602/10
10982	29822/1
8992	120316/1
6938	96590/12
6257	221856/08
7820	67514/1
7691	218333/09
5490	24501/07
8408	126515/1
10548	167320/1
8506	157715/1
10362	140420/1
9480	107114/1
7004	97499/12
4673	261087/97
4680	261088/97
10617	57121/1
5489	219721/09
8082	107014/1
6517	166754/11
10642	FE100420/1
10784	922/1
10641	FE100320/1
10783	822/1
10408	14620/1
10409	14720/1
10402	14520/1
10407	14820/1
10406	14320/1
10405	14220/1
10404	14120/1
10658	14020/1
10403	13920/1
2224	38681/96
2217	974004/02
5314	221303/08
5317	221304/08
11822	30924/1
5315	221302/08
5316	221301/08
11821	31024/1
6523	97682/11
11820	31124/1
7870	88314/1
10555	73220/1
6773	97004/12
10552	73420/1
10411	140518/1
11064	6720/1
10359	100720/1
11824	152020/1
11825	151920/1
6775	97006/12
10553	73520/1
10412	140618/1
11065	6820/1
10360	100820/1
11823	152120/1
5543	221951/09
10554	73320/1
10413	140418/1
11063	6620/1
10361	100920/1
11826	151820/1
10341	141519/1
11589	27823/1
10551	45620/1
10340	141419/1
11590	27923/1
10550	45720/1
8832	142116/1
9359	176017/1
11046	78421/1
3356	208583/03
9851	171218/1
10489	187419/1
10415	10520/1
11335	10320/1
9506	22618/1
9507	22518/1
9508	22418/1
7193	97840/11
8986	14817/1
3279	208373/02
8987	14917/1
3280	208374/02
8988	15017/1
3281	208375/02
7980	89114/1
8558	9516/1
9763	94914/1
8850	46316/1
10908	13421/1
10909	13521/1
10367	83820/1
10368	83920/1
6958	97879/11
6539	96419/11
10307	179219/1
10284	162219/1
10285	162319/1
10286	162419/1
8983	15417/1
8984	15217/1
8985	15317/1
8315	76815/1
5539	218018/09
10083	139519/1
5540	218019/09
5541	218017/09
9762	83014/1
1263	15851
9808	159018/1
7521	186525/13
11625	120416/1
11624	21623/1
9902	101918/1
9903	101818/1
9904	102118/1
9905	102018/1
5342	222404/08
9481	22115/1
11111	121122/1
5295	222403/08
7777	186975/14
6867	218850/09
6724	218816/09
5046	208352/02
10178	102219/1
8728	71316/1
8729	66216/1
7023	97534/11
7974	141614/1
5210	222236/07
6239	167494/10
9154	4517/1
5113	24311
8656	159515/1
1870	261032
6657	218348/09
9155	4717/1
11841	57022/1
9156	4617/1
11842	57322/1/1
3712	25200/81
1864	973346/01
10941	95818/1
10624	100020/1
6824	166942/11
9536	125716/1
8141	31215/1
6658	218349/09
4440	208366/97
6372	166901/11
11303	17423/1
6370	166903/11
11302	17523/1
6442	222454/08
11531	119723/1
10471	194319/1
10775	108621/1
11692	129323/1
6368	166905/11
11790	139023/1
10472	194519/1
6791	97990/12
10473	194419/1
1433	973713/02
8890	70215/1
9830	61819/1
10774	4922/1
1434	973712/02
1095	236426/98
6211	167619/10
1096	236428/98
10934	75717/1
11473	91122/1
10935	75717/1
7211	168142/10
7212	168141/10
9378	93016/1
11424	154720/1
11425	154620/1
3487	148247/03
3489	148245/03
3267	405966
9604	136918/1
8989	20117/1
3604	974495
5567	23852/07
4048	194316/05
8428	16115/1
9780	166718/1
2662	974119/01
2473	261021
6831	97018/12
8409	105015/1
6830	167802/11
11191	16221/1
7125	186467/12
7132	186464/12
8075	80614/1
8076	80714/1
4166	2704/94
4776	2096/94
9584	107117/1
4182	2713/94
4785	2095/94
4167	2704/94
9377	145817/1
4775	2096/94
9897	186118/1
9997	21619/1
4169	2704/94
9376	137517/1
4774	2096/94
9588	142017/1
9784	178618/1
9585	107017/1
4181	2713/94
4184	2713/94
9714	168818/1
4784	2095/94
4786	2095/94
9715	168918/1
10130	134519/1
10129	134619/1
10613	63921/1
11145	9423/1
4134	2709/94
4136	2709/94
4138	2709/94
9711	130718/1
9712	130618/1
4767	2092/94
4769	2092/94
4770	2092/94
9710	130818/1
9713	130918/1
10076	125919/1
10078	125819/1
10077	126019/1
10131	134419/1
10612	64121/1
11144	9523/1
4142	2710/94
4144	2710/94
9372	99817/1
9373	99917/1
4764	2093/94
4765	2093/94
4766	2093/94
9370	67417/1
9371	67517/1
9483	115717/1
9484	115817/1
9562	126017/1
9563	125917/1
10611	64021/1
11143	9623/1
4157	2661/94
4159	2661/94
