id,atc,b_g,ingredients,code,registration_nb,name,dosage,presentation,form,route,agent,laboratory,country,price,pharmacist_margin,stratum,responsible_party_name,responsible_party_country,exch_date,subsidy_pct,url
1120,B05CX01,G,Glucose - 5%,10567,52421/1,5% DEXTROSE INJECTION USP,5%,250ml,Injectable solution,Infusion,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"163,184 L.L",16.67,,,,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/1120
1121,B05CX01,G,Glucose - 5%,10568,52521/1,5% DEXTROSE INJECTION USP,5%,500ml,Injectable solution,Infusion,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"175,825 L.L",16.67,,,,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/1121
1122,B05CX01,G,Glucose - 5%,10569,52621/1,5% DEXTROSE INJECTION USP,5%,1000ml,Injectable solution,Infusion,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"197,659 L.L",16.67,,,,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/1122
1123,B05CX01,G,Glucose - 5%,11146,8723/1,5% DEXTROSE INJECTION USP,5%,100ml,Injectable solution,Infusion,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"211,449 L.L",16.67,,,,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/1123
1124,B05CX01,G,Glucose - 5%,11147,8823/1,5% DEXTROSE INJECTION USP,5%,250ml,Injectable solution,Infusion,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"211,449 L.L",16.67,,,,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/1124
1125,B05CX01,G,Glucose - 5%,11148,8923/1,5% DEXTROSE INJECTION USP,5%,500ml,Injectable solution,Infusion,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"228,687 L.L",16.67,,,,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/1125
1126,B05CX01,G,Glucose - 5%,11149,9023/1,5% DEXTROSE INJECTION USP,5%,1000ml,Injectable solution,Infusion,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"247,074 L.L",16.67,,,,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/1126
1127,B05CX01,G,Glucose - 5%,12128,114624/1,5% DEXTROSE INJECTION USP,5%,50ml,Injectable solution,Infusion,A Pharma Solutions SAL,Serum and Solutions SAL,Lebanon,"204,554 L.L",16.67,,,,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/1127
3398,L01BC02,G,Fluorouracil - 1000mg/20ml,8733,66316/1,5-FLUOROURACIL EBEWE,1000mg/20ml,1 x 20ml,Injectable concentrated solution,Infusion/IV,Khalil Fattal & Fils S.A.L.,Fareva Unterach GmbH,Austria,"653,107 L.L",23.08,A1,Ebewe Pharma GesmbH.NFG.KG,Austria,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/3398
3399,L01BC02,G,Fluorouracil - 1000mg/20ml,12048,98322/1,5-FROTU,1000mg/20ml,1x20ml,Injectable solution,Infusion/IV,Germanos Health Care Supplies SARL,Onko Ilac Sanayi Ve Tic AS,Turkey,"577,852 L.L",23.08,A1,Onko Ilac Sanayi Ve Tic AS,Turkey,2026-09-03,,https://www.moph.gov.lb/en/Drugs/view/3399
